# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1663693133.965890645980835,0.00240,0.00018,0.00001,0.00000,0.00000,0.00231,0.00490
1663693134.007543325424194,0.00173,0.00011,0.00001,0.00000,0.00129,0.00018,0.00333
1663693134.040824174880981,0.00179,0.00012,0.00001,0.00013,0.00000,0.00010,0.00215
1663693134.073490619659424,0.00167,0.00010,0.00002,0.00011,0.00007,0.00011,0.00208
1663693134.107466459274292,0.00227,0.00011,0.00003,0.00015,0.00000,0.00017,0.00273
1663693134.140133380889893,0.00183,0.00011,0.00000,0.00012,0.00000,0.00015,0.00222
1663693134.172930955886841,0.00191,0.00010,0.00002,0.00010,0.00010,0.00016,0.00239
1663693134.205721616744995,0.00126,0.00011,0.00000,0.00014,0.00000,0.00016,0.00167
1663693134.239016294479370,0.00180,0.00011,0.00001,0.00013,0.00007,0.00014,0.00225
1663693134.272423267364502,0.00132,0.00011,0.00000,0.00012,0.00000,0.00018,0.00173
1663693134.305645227432251,0.00183,0.00011,0.00003,0.00010,0.00077,0.00013,0.00297
1663693134.339052438735962,0.00134,0.00011,0.00000,0.00015,0.00000,0.00015,0.00175
1663693134.372406005859375,0.00293,0.00015,0.00003,0.00012,0.00000,0.00018,0.00340
1663693134.405501127243042,0.00239,0.00011,0.00004,0.00008,0.00005,0.00015,0.00283
1663693134.439139127731323,0.00207,0.00011,0.00004,0.00011,0.00000,0.00016,0.00249
1663693134.472053050994873,0.00183,0.00011,0.00019,0.00007,0.00000,0.00016,0.00235
1663693134.505638837814331,0.00131,0.00011,0.00001,0.00008,0.00004,0.00024,0.00178
1663693134.539310455322266,0.00152,0.00010,0.00003,0.00008,0.00000,0.00019,0.00192
1663693134.572730541229248,0.00145,0.00011,0.00004,0.00008,0.00000,0.00016,0.00183
1663693134.605931520462036,0.00179,0.00011,0.00014,0.00006,0.00038,0.00018,0.00266
1663693134.640649318695068,0.00183,0.00011,0.00001,0.00008,0.00110,0.00015,0.00327
1663693134.673939228057861,0.00158,0.00011,0.00002,0.00014,0.00000,0.00020,0.00207
1663693134.706918478012085,0.00128,0.00011,0.00002,0.00012,0.00000,0.00019,0.00172
1663693134.740601778030396,0.00160,0.00011,0.00000,0.00012,0.00000,0.00016,0.00198
1663693134.774033784866333,0.00223,0.00011,0.00013,0.00004,0.00005,0.00015,0.00271
1663693134.807368755340576,0.00153,0.00011,0.00013,0.00006,0.00000,0.00017,0.00200
1663693134.841047525405884,0.00256,0.00011,0.00000,0.00008,0.00000,0.00018,0.00294
1663693134.874474287033081,0.00188,0.00010,0.00001,0.00004,0.00004,0.00016,0.00223
1663693134.906595706939697,0.00174,0.00013,0.00002,0.00000,0.00486,0.00014,0.00689
1663693134.938734054565430,0.00202,0.00015,0.00021,0.00070,0.00138,0.00015,0.00461
1663693134.972110748291016,0.00208,0.00012,0.00002,0.00095,0.00000,0.00014,0.00332
1663693135.004729509353638,0.00180,0.00014,0.00036,0.00091,0.00000,0.00013,0.00335
1663693135.037655591964722,0.00139,0.00012,0.00002,0.00094,0.00209,0.00012,0.00469
1663693135.070986509323120,0.00185,0.00012,0.00002,0.00129,0.00000,0.00015,0.00344
