sequence,openvins_full_sequence,stage3_stock,stage3_learned,stage3_conformalised,orb_slam3_stereo_inertial,vins_fusion_stereo_inertial,okvis2_vio,okvis2_causal_slam
MH_01_easy,0.090810,0.078757,0.258771,0.322515,0.036,0.166,0.057,0.044
MH_02_easy,0.124355,0.096540,0.332267,0.406630,0.033,0.152,0.044,0.036
MH_03_medium,0.137622,0.194700,0.353130,0.394162,0.035,0.125,0.082,0.050
MH_04_difficult,0.166111,0.175093,0.652513,0.750944,0.051,0.280,0.189,0.089
MH_05_difficult,0.242839,0.277956,0.856100,0.890739,0.082,0.284,0.141,0.112
V1_01_easy,0.054600,0.056546,0.084641,0.096328,0.038,0.076,0.043,0.037
V1_02_medium,0.057251,0.070618,0.157149,0.156605,0.014,0.069,0.037,0.021
V1_03_difficult,0.059450,0.060026,0.082685,0.132112,0.024,0.114,0.036,0.035
V2_01_easy,0.058929,0.055560,0.110765,0.131221,0.032,0.066,0.044,0.036
V2_02_medium,0.045204,0.037752,0.081072,0.141640,0.014,0.091,0.044,0.024
V2_03_difficult,0.103335,0.120112,0.134038,0.168076,0.024,0.096,0.063,0.045
mean,0.103682,0.111242,0.282103,0.326452,0.034818,0.138091,0.070909,0.048091
