sequence,frames,valid_targets,median_interval_s,sigma_w_median,sigma_w_p95,sigma_w_normalized_median,sigma_a_median,sigma_a_p95,sigma_a_normalized_median,sigma_wb_median,sigma_wb_p95,sigma_wb_normalized_median,sigma_ab_median,sigma_ab_p95,sigma_ab_normalized_median
MH_01_easy,2764,2763,0.04999995231628418,4.7959050387339564e-05,0.00016032237223502111,0.28264409704938454,0.006036408838696014,0.020994456037005976,3.018204419348007,1.8921957774817786e-05,8.628625217332617e-05,0.9757107087514973,0.004140574168424907,0.012079792277278583,1.3801913894749689
MH_02_easy,2238,2237,0.04999995231628418,2.6097195723336024e-05,6.917738254581303e-05,0.15380242646944853,0.005677457854794658,0.01765374938848094,2.838728927397329,1.6547970144368254e-05,8.159404052892347e-05,0.8532960420960272,0.003943255336955692,0.010218627251696664,1.3144184456518975
MH_03_medium,2291,2290,0.04999995231628418,2.4521813116117858e-05,9.893753454528018e-05,0.14451799337646073,0.0060907177026045785,0.03676199814335203,3.0453588513022893,2.3010444761105364e-05,0.00013649757156849733,1.1865335307123892,0.00414751596102902,0.012092368295356816,1.3825053203430069
MH_04_difficult,1594,1593,0.04999995231628418,3.234678463602993e-05,0.00011490039288676189,0.1906340442953202,0.006856725315073524,0.027470003827155108,3.428362657536762,2.181350962632098e-05,0.00012048086732977572,1.1248135732646307,0.0037707486331058854,0.009613075681437789,1.2569162110352952
MH_05_difficult,1829,1828,0.04999995231628418,3.011831497982562e-05,9.401105630793851e-05,0.17750067762744942,0.007437271498599521,0.029230991021128562,3.71863574929976,0.0,0.00013343316553213856,0.0,2.5819839727352897e-06,0.001779136566074808,0.0008606613242450966
V1_01_easy,2782,2781,0.04999995231628418,0.0007652599508256174,0.0017964670161683155,4.510018569222168,0.010455797921227276,0.02005076162452808,5.227898960613638,1.711722355968899e-05,7.787284503466776e-05,0.8826495931361311,0.004154882637459938,0.010450085238822297,1.3849608791533126
V1_02_medium,1594,1593,0.04999995231628418,0.0002724962931619352,0.0009703858451448225,1.6059423217935833,0.007971056128841945,0.016062446428406568,3.985528064420972,2.657365170573532e-05,0.00032659222160008963,1.370270288544079,0.0048584856881926375,0.01374709502518027,1.6194952293975458
V1_03_difficult,1988,1987,0.04999995231628418,0.0003180469291937935,0.0006536149776476031,1.8743925577191982,0.009104070244519084,0.021658387030127763,4.552035122259542,2.460327359348169e-05,0.00016061654952042722,1.2686677457578348,0.00483698961286286,0.01553238326967243,1.6123298709542866
V2_01_easy,2168,2167,0.04999995231628418,0.00028065687874586487,0.0006718860526669586,1.6540362962391848,0.011934304852414054,0.02394017799270325,5.967152426207027,1.759164353364647e-05,7.1369361689083e-05,0.9071130579923927,0.004723674517988621,0.014639843597358078,1.5745581726628737
V2_02_medium,2254,2253,0.04999995231628418,0.00040231853527737866,0.001000933271831581,2.3710427585889833,0.01344340203082665,0.025575484127370603,6.721701015413325,2.4481095352936892e-05,9.796256068951749e-05,1.2623676250676479,0.005222751248020254,0.0148138659760474,1.740917082673418
V2_03_difficult,1800,1799,0.05000019073486328,0.0018604959687273997,0.00663121541839784,10.96473343191537,0.019285177377270916,0.03924174894158783,9.642588688635458,3.324909691800988e-05,0.00022701504666707776,1.7144896054251473,0.0050094119045204395,0.016496686251685915,1.6698039681734798
