sequence,split,neta_frames,neta_features,neta_error_median_px,neta_error_p95_px,netb_intervals,netb_interval_median_s,sigma_w_physical_median,sigma_w_normalized_median,sigma_w_normalized_p95,sigma_w_zero_fraction,sigma_a_physical_median,sigma_a_normalized_median,sigma_a_normalized_p95,sigma_a_zero_fraction,sigma_wb_physical_median,sigma_wb_normalized_median,sigma_wb_normalized_p95,sigma_wb_zero_fraction,sigma_ab_physical_median,sigma_ab_normalized_median,sigma_ab_normalized_p95,sigma_ab_zero_fraction
MH_01_easy,train,1378,6119,0.8680883646011353,10.24620761871335,2763,0.04999995231628418,4.7959050387339564e-05,0.2826440930366516,0.9448513090610504,0.0,0.006036408838696014,3.0182044506073,10.497227954864503,0.0,1.8921957774817786e-05,0.9757106900215149,4.449350261688236,0.0,0.004140574168424907,1.380191445350647,4.026597309112549,0.0
MH_02_easy,train,1090,4715,0.8015835285186768,10.355630302429205,2237,0.04999995231628418,2.6097195723336024e-05,0.15380242466926575,0.4076931953430174,0.0,0.005677457854794658,2.838728904724121,8.82687435150146,0.0,1.6547970144368254e-05,0.8532960414886475,4.2073964118957505,0.0,0.003943255336955692,1.3144184350967407,3.4062090873718227,0.0
MH_03_medium,train,1513,6678,1.3018085956573486,6.768942952156067,2290,0.04999995231628418,2.4521813116117858e-05,0.14451798796653748,0.583083090186119,0.0,0.0060907177026045785,3.045358896255493,18.38099985122671,0.0,2.3010444761105364e-05,1.1865334510803223,7.038497090339616,0.0017467248908296944,0.00414751596102902,1.3825054168701172,4.030789446830749,0.0008733624454148472
MH_04_difficult,calibration,968,3886,0.9289373159408569,5.28111457824707,1593,0.04999995231628418,3.234678463602993e-05,0.19063404202461243,0.6771593332290647,0.0,0.006856725315073524,3.4283626079559326,13.735001945495593,0.0,2.181350962632098e-05,1.1248135566711426,6.212595653533916,0.021343377275580666,0.0037707486331058854,1.2569161653518677,3.2043585300445545,0.01694915254237288
MH_05_difficult,test,333,621,30.502702713012695,66.24858093261719,1828,0.04999995231628418,3.011831497982562e-05,0.1775006800889969,0.554049128293991,0.0,0.007437271498599521,3.7186355590820312,14.615495872497556,0.0,0.0,0.0,6.880480861663806,0.9064551422319475,2.5819839727352897e-06,0.0008606613264419138,0.5930455416440952,0.4048140043763676
V1_01_easy,train,1876,10441,1.7961640357971191,8.409987449645996,2781,0.04999995231628418,0.0007652599508256174,4.510018348693848,10.587382316589355,0.0,0.010455797921227276,5.227899074554443,10.025381088256836,0.0,1.711722355968899e-05,0.8826496005058289,4.015512943267822,0.0,0.004154882637459938,1.3849608898162842,3.4833617210388184,0.0
V1_02_medium,train,1393,6734,1.4758347272872925,12.524253845214787,1593,0.04999995231628418,0.0002724962931619352,1.6059423685073853,5.718916893005371,0.0,0.007971056128841945,3.985527992248535,8.03122329711914,0.0,2.657365170573532e-05,1.3702702522277832,16.840727233886685,0.0,0.0048584856881926375,1.6194952726364136,4.582364845275879,0.0
V1_03_difficult,calibration,1776,9688,1.54231858253479,8.805501174926746,1987,0.04999995231628418,0.0003180469291937935,1.8743925094604492,3.8520448923110955,0.0,0.009104070244519084,4.552035331726074,10.829193305969236,0.0,2.460327359348169e-05,1.2686676979064941,8.282191848754845,0.0,0.00483698961286286,1.6123298406600952,5.177461099624633,0.0
V2_01_easy,train,1499,6606,0.844745397567749,7.578295469284058,2167,0.04999995231628418,0.00028065687874586487,1.654036283493042,3.959724402427671,0.0,0.011934304852414054,5.9671525955200195,11.970088672637939,0.0,1.759164353364647e-05,0.9071130752563477,3.6801609754562374,0.0,0.004723674517988621,1.574558138847351,4.8799479961395225,0.0
V2_02_medium,test,1942,9029,1.0680032968521118,7.453706264495854,2253,0.04999995231628418,0.00040231853527737866,2.3710427284240723,5.89894666671753,0.0,0.01344340203082665,6.721701145172119,12.787741661071777,0.0,2.4481095352936892e-05,1.262367606163025,5.051439285278321,0.0004438526409232135,0.005222751248020254,1.7409170866012573,4.937955379486084,0.0
V2_03_difficult,test,1609,9586,2.370060443878174,15.519846200942993,1799,0.05000019073486328,0.0018604959687273997,10.964733123779297,39.08071327209472,0.0,0.019285177377270916,9.64258861541748,19.620874404907223,0.0,3.324909691800988e-05,1.7144895792007446,11.70603017807006,0.012784880489160644,0.0050094119045204395,1.6698039770126343,5.498895502090454,0.0033351862145636463
