sequence,split,arm,frames,duration_s,ate_rmse_m,ate_median_m,ate_p95_m,rpe_global_1s_rmse_m,feature_candidates,feature_gate_pass_rate,sigma_pix_median,sigma_pix_p95,sigma_pix_max,finite_gt_feature_targets,sigma_lookup_hit_rate,live_neta_predictions
MH_01_easy,train,stock,2764,138.14999985694885,0.07875655413651467,0.06149293507480964,0.14444105923936054,0.026904818356892173,6172,0.7511341542449773,1.0,1.0,1.0,6120,1.0,0
MH_01_easy,train,learned,2764,138.14999985694885,0.25877148704638175,0.20253152849052816,0.488223596701198,0.04834221774599755,5927,0.9998312805803948,1.1260399259406655,12.204339335315378,1096.6331584284585,5885,,5927
MH_01_easy,train,conformalised,2764,138.14999985694885,0.3225154839943339,0.23212867110937663,0.6680293557636752,0.06019465196558612,6202,0.9998387616897775,1.3005233219343553,13.34106089368284,1283.2652082206807,6161,,6202
MH_02_easy,train,stock,2238,111.84999990463257,0.09653981776746164,0.07170496395393666,0.18613230888757046,0.020996288982060424,4763,0.761074952760865,1.0,1.0,1.0,4716,1.0,0
MH_02_easy,train,learned,2238,111.84999990463257,0.3322665371797414,0.2620506169738994,0.6173161922968411,0.052606609116103945,4671,0.9995718261614215,1.020083296000891,10.859952619460373,1096.6331584284585,4638,,4671
MH_02_easy,train,conformalised,2238,111.84999990463257,0.4066301404309459,0.3205687307653079,0.725049388080626,0.06349202783917038,4375,0.9997714285714285,1.3067483221363811,14.046560383737546,1283.2652082206807,4335,,4375
MH_03_medium,train,stock,2291,114.5,0.19470015481431194,0.1452663650595326,0.42438408252488313,0.06499993275224236,6678,0.7780772686433064,1.0,1.0,1.0,6678,1.0,0
MH_03_medium,train,learned,2291,114.5,0.3531299562901588,0.2510876182022325,0.643174051456755,0.12203675752935579,6874,1.0,1.2872558042708233,6.226598690702149,91.58870840825224,6873,,6874
MH_03_medium,train,conformalised,2291,114.5,0.3941615950230913,0.3699356301810325,0.5858997755527706,0.11610099522983335,6842,1.0,1.4593791024387923,7.231187082393589,618.57930555896,6841,,6842
MH_04_difficult,calibration,stock,1594,79.65000009536743,0.17509335257680178,0.14588512027930753,0.2818729225656815,0.04890324689844866,3886,0.8185795162120433,1.0,1.0,1.0,3886,1.0,0
MH_04_difficult,calibration,learned,1594,79.65000009536743,0.6525125507835058,0.5966140517302239,1.025766323741306,0.09903314713011449,3879,1.0,1.230906405385203,6.229069747712908,46.131481467038306,3879,,3879
MH_04_difficult,calibration,conformalised,1594,79.65000009536743,0.750944102204168,0.7395693201668961,1.1233533968340472,0.1192004375169606,4260,1.0,1.446321522391163,6.820438940981763,44.44361142151727,4260,,4260
MH_05_difficult,test,stock,1829,91.39999985694885,0.2779562963189118,0.22814836848311001,0.4530282415992535,0.05496147229442629,4450,0.8262921348314607,1.0,1.0,1.0,4428,1.0,0
MH_05_difficult,test,learned,1829,91.39999985694885,0.8560999831730581,0.7912463010717521,1.302160667292868,0.11843275158045218,4420,1.0,1.1553676647791828,6.052600087638213,67.90710834677161,4397,,4420
MH_05_difficult,test,conformalised,1829,91.39999985694885,0.8907388242734113,0.8694872272998333,1.3275840171075657,0.1398796157663554,4466,1.0,1.2943510748662606,6.254000000412288,80.09857388341854,4447,,4466
V1_01_easy,train,stock,2782,139.05000019073486,0.0565456233033495,0.05268590352649305,0.08924915912038409,0.01738757890003875,10454,0.8443657929978955,1.0,1.0,1.0,10441,1.0,0
V1_01_easy,train,learned,2782,139.05000019073486,0.08464146324411793,0.08162960282801388,0.12436024356421048,0.01930515335852494,10299,1.0,1.6688397137414193,8.83115357436003,139.70142802673521,10278,,10299
V1_01_easy,train,conformalised,2782,139.05000019073486,0.09632758058049931,0.08566119477848178,0.1445746006572692,0.02336559886963056,10500,1.0,1.9893910639320844,11.569700887470013,100.45024172406845,10478,,10500
V1_02_medium,train,stock,1594,79.65000009536743,0.07061765346118105,0.05539319397623905,0.12135422685886704,0.027122405431140993,6751,0.7772181898977929,1.0,1.0,1.0,6735,1.0,0
V1_02_medium,train,learned,1594,79.65000009536743,0.15714853604481205,0.1326384957147989,0.25329749901092846,0.07225923970856829,6686,0.9998504337421478,2.1240213584744203,15.415418656639194,1096.6331584284585,6665,,6686
V1_02_medium,train,conformalised,1594,79.65000009536743,0.15660455157944853,0.141100672986416,0.2713822074493185,0.07052581987232011,6749,1.0,2.427877402915244,17.344682845545506,597.9069798829881,6720,,6749
V1_03_difficult,calibration,stock,1988,99.34999990463257,0.060025856819696376,0.052139954489489625,0.10061731382113676,0.03432808401795044,9690,0.7215686274509804,1.0,1.0,1.0,9690,1.0,0
V1_03_difficult,calibration,learned,1988,99.34999990463257,0.08268545512231835,0.06788573898074834,0.14671963389648993,0.04494288429374291,9765,0.9987711213517665,2.234026081482143,10.847502478396276,1096.6331584284585,9745,,9765
V1_03_difficult,calibration,conformalised,1988,99.34999990463257,0.1321123992134716,0.11850045249948707,0.2222921583162414,0.05153038045483335,9695,0.9998968540484786,2.5829960071522944,11.96981947904905,1283.2652082206807,9683,,9695
V2_01_easy,train,stock,2168,108.34999966621399,0.05555951364931292,0.04474067558485712,0.10073294634731879,0.01893795452234982,6606,0.7861035422343324,1.0,1.0,1.0,6606,1.0,0
V2_01_easy,train,learned,2168,108.34999966621399,0.11076528466388068,0.09220129429864107,0.1958488946199725,0.02309273524753936,6737,1.0,1.5358981787317696,8.791467071458634,112.01545911842592,6737,,6737
V2_01_easy,train,conformalised,2168,108.34999966621399,0.13122072074209856,0.11352498339780999,0.22285166402859713,0.02417477033784211,6633,1.0,1.82026081894693,10.058938858370695,130.21134473535716,6633,,6633
V2_02_medium,test,stock,2254,112.64999985694885,0.03775211714077242,0.02915009683938183,0.07143126567716307,0.022264377465211534,9042,0.7825702278257023,1.0,1.0,1.0,9032,1.0,0
V2_02_medium,test,learned,2254,112.64999985694885,0.08107194088666171,0.07367077164957275,0.12854932499642693,0.02729308816010441,9169,0.9993456211146253,2.026430894843169,9.700484926849125,1096.6331584284585,9154,,9169
V2_02_medium,test,conformalised,2254,112.64999985694885,0.14164001879426855,0.11127841773955931,0.26719534143209367,0.030682091703353707,9135,1.0,2.3435398183345066,11.267519433911065,1283.2652082206807,9117,,9135
V2_03_difficult,test,stock,1800,110.35000014305115,0.12011234624316847,0.10824430460657,0.19065885775256391,0.04420781628663935,9587,0.613121935954939,1.0,1.0,1.0,9587,1.0,0
V2_03_difficult,test,learned,1800,110.35000014305115,0.13403811706432545,0.1157308516706865,0.2403940130650172,0.04041431040932512,9622,0.9995842860112243,2.8546194068557647,15.115014575396028,1096.6331584284585,9622,,9622
V2_03_difficult,test,conformalised,1800,110.35000014305115,0.16807618818811088,0.1376396653363826,0.2775470270811797,0.043078900467171166,9593,1.0,3.385686195829356,17.541452764738093,1283.2652082206807,9593,,9593
