# timestamp (sec),tracking,propagation,msckf update,slam update,slam delayed,re-tri & marg,total
1662155249.210302114486694,0.00386,0.00040,0.00103,0.00000,0.00001,0.23510,0.24039
1662155249.243000507354736,0.00418,0.00016,0.00087,0.00000,0.00274,0.00181,0.00975
1662155249.276560306549072,0.00415,0.00019,0.00004,0.00023,0.00000,0.00150,0.00611
1662155249.309661865234375,0.00324,0.00018,0.00006,0.00020,0.00000,0.00161,0.00528
1662155249.344064474105835,0.00385,0.00019,0.00027,0.00018,0.00000,0.00166,0.00615
1662155249.377564430236816,0.00353,0.00019,0.00018,0.00021,0.00000,0.00176,0.00587
1662155249.411321401596069,0.00467,0.00021,0.00019,0.00019,0.00000,0.00169,0.00695
1662155249.442470312118530,0.00359,0.00020,0.00022,0.00020,0.00000,0.01867,0.02287
1662155249.476724624633789,0.00338,0.00022,0.00038,0.00017,0.00015,0.00078,0.00507
1662155249.513144969940186,0.00381,0.00021,0.00030,0.00025,0.00000,0.00071,0.00527
1662155249.547863483428955,0.00423,0.00018,0.00035,0.00016,0.00000,0.00065,0.00558
1662155249.582137584686279,0.00329,0.00016,0.00027,0.00014,0.00000,0.00064,0.00449
1662155249.614327430725098,0.00340,0.00015,0.00025,0.00014,0.00075,0.00097,0.00565
1662155249.648118257522583,0.00359,0.00014,0.00054,0.00017,0.00807,0.00087,0.01338
1662155249.683583259582520,0.00394,0.00018,0.00030,0.00037,0.00046,0.00080,0.00605
1662155249.717445611953735,0.00364,0.00016,0.00016,0.00037,0.00069,0.00068,0.00571
1662155249.750617742538452,0.00294,0.00016,0.00025,0.00050,0.00000,0.00067,0.00452
1662155249.783895015716553,0.00317,0.00016,0.00012,0.00053,0.00023,0.00070,0.00491
1662155249.817360639572144,0.00323,0.00016,0.00038,0.00042,0.00059,0.00065,0.00543
1662155249.850979804992676,0.00322,0.00015,0.00035,0.00051,0.00046,0.00071,0.00540
1662155249.883642911911011,0.00352,0.00018,0.00023,0.00057,0.00000,0.00071,0.00521
1662155249.917388439178467,0.00329,0.00015,0.00020,0.00045,0.00000,0.00061,0.00470
1662155249.951070070266724,0.00351,0.00016,0.00010,0.00038,0.00011,0.00061,0.00486
1662155249.984050750732422,0.00333,0.00016,0.00051,0.00043,0.00010,0.00104,0.00557
1662155250.017471551895142,0.00383,0.00017,0.00054,0.00042,0.00036,0.00075,0.00606
1662155250.051199436187744,0.00346,0.00016,0.00026,0.00037,0.00346,0.00061,0.00832
1662155250.084821701049805,0.00354,0.00016,0.00026,0.00044,0.00042,0.00060,0.00541
1662155250.118299484252930,0.00373,0.00017,0.00013,0.00050,0.00036,0.00061,0.00550
1662155250.151774406433105,0.00383,0.00015,0.00025,0.00048,0.00000,0.00061,0.00533
1662155250.184864044189453,0.00334,0.00015,0.00027,0.00059,0.00036,0.00067,0.00538
1662155250.218619346618652,0.00331,0.00016,0.00008,0.00045,0.00110,0.00063,0.00572
1662155250.251726388931274,0.00371,0.00015,0.00007,0.00047,0.00051,0.00064,0.00555
1662155250.284934282302856,0.00342,0.00016,0.00018,0.00046,0.00051,0.00064,0.00537
1662155250.318432569503784,0.00343,0.00020,0.00002,0.00045,0.00000,0.00062,0.00473
1662155250.351763486862183,0.00340,0.00016,0.00003,0.00046,0.00122,0.00066,0.00592
1662155250.384931087493896,0.00331,0.00015,0.00010,0.00048,0.00008,0.00068,0.00481
1662155250.418671607971191,0.00377,0.00016,0.00018,0.00047,0.00110,0.00064,0.00632
1662155250.452786684036255,0.00306,0.00015,0.00006,0.00067,0.00426,0.00068,0.00888
1662155250.485748767852783,0.00365,0.00017,0.00003,0.00080,0.00173,0.00059,0.00697
1662155250.520608901977539,0.00339,0.00016,0.00005,0.00090,0.00411,0.00061,0.00923
1662155250.554036855697632,0.00361,0.00018,0.00003,0.00142,0.00000,0.00059,0.00582
1662155250.587655067443848,0.00358,0.00017,0.00003,0.00142,0.00147,0.00061,0.00729
1662155250.621115446090698,0.00344,0.00018,0.00078,0.00172,0.00575,0.00059,0.01246
1662155250.654569864273071,0.00364,0.00021,0.00005,0.00283,0.00050,0.00064,0.00788
1662155250.687781333923340,0.00376,0.00017,0.00003,0.00293,0.00222,0.00065,0.00976
1662155250.721016883850098,0.00401,0.00020,0.00009,0.00341,0.00000,0.00072,0.00842
1662155250.754635095596313,0.00366,0.00018,0.00008,0.00301,0.00076,0.00067,0.00835
1662155250.787863492965698,0.00340,0.00017,0.00009,0.00288,0.00135,0.00082,0.00871
1662155250.820926666259766,0.00337,0.00017,0.00006,0.00315,0.00035,0.00067,0.00777
1662155250.854254484176636,0.00330,0.00018,0.00003,0.00308,0.00427,0.00067,0.01152
1662155250.887581586837769,0.00379,0.00023,0.00003,0.00325,0.00347,0.00068,0.01145
1662155250.920567035675049,0.00320,0.00022,0.00045,0.00363,0.00401,0.00062,0.01213
1662155250.954103946685791,0.00396,0.00022,0.00003,0.00453,0.00000,0.00058,0.00932
1662155250.987457036972046,0.00288,0.00021,0.00007,0.00417,0.00000,0.00058,0.00790
1662155251.020425081253052,0.00386,0.00020,0.00019,0.00400,0.00140,0.00071,0.01037
1662155251.053964614868164,0.00339,0.00020,0.00003,0.00455,0.00050,0.00061,0.00928
1662155251.087284564971924,0.00351,0.00019,0.00005,0.00428,0.00000,0.00059,0.00863
1662155251.120311260223389,0.00404,0.00022,0.00003,0.00437,0.00000,0.00074,0.00940
1662155251.152896404266357,0.00366,0.00019,0.00003,0.00452,0.00758,0.00067,0.01666
1662155251.186128377914429,0.00408,0.00025,0.00008,0.00543,0.00031,0.00064,0.01078
1662155251.219202756881714,0.00463,0.00021,0.00012,0.00558,0.00051,0.00058,0.01163
1662155251.252383947372437,0.00364,0.00020,0.00030,0.00528,0.00037,0.00062,0.01042
1662155251.285768985748291,0.00404,0.00024,0.00007,0.00509,0.00028,0.00057,0.01030
1662155251.319136857986450,0.00344,0.00025,0.00075,0.00604,0.00051,0.00074,0.01173
1662155251.352136373519897,0.00348,0.00029,0.00005,0.00554,0.00000,0.00072,0.01009
1662155251.385594606399536,0.00350,0.00022,0.00037,0.00564,0.00002,0.00070,0.01045
1662155251.418957948684692,0.00359,0.00024,0.00006,0.00598,0.00028,0.00077,0.01093
1662155251.452047109603882,0.00323,0.00024,0.00002,0.00605,0.00064,0.00078,0.01096
1662155251.485506296157837,0.00302,0.00022,0.00001,0.00505,0.00000,0.00064,0.00895
1662155251.518822193145752,0.00340,0.00034,0.00002,0.00490,0.00000,0.00063,0.00929
1662155251.551856756210327,0.00456,0.00022,0.00001,0.00529,0.00147,0.00074,0.01230
1662155251.585352897644043,0.00355,0.00031,0.00002,0.00615,0.00040,0.00083,0.01126
1662155251.618720054626465,0.00417,0.00022,0.00002,0.00535,0.00145,0.00061,0.01183
1662155251.651679277420044,0.00414,0.00026,0.00891,0.00599,0.00352,0.00145,0.02428
1662155251.685132026672363,0.00409,0.00025,0.00015,0.00558,0.00011,0.00055,0.01073
1662155251.718587160110474,0.00343,0.00027,0.00002,0.00558,0.00170,0.00064,0.01164
1662155251.751716613769531,0.00358,0.00029,0.00001,0.00645,0.00000,0.00066,0.01100
1662155251.784895420074463,0.00476,0.00027,0.00047,0.00752,0.00005,0.00069,0.01376
1662155251.818351030349731,0.00310,0.00024,0.00037,0.00716,0.00032,0.00085,0.01205
1662155251.851485252380371,0.00355,0.00023,0.00002,0.00763,0.00073,0.00084,0.01299
1662155251.884941339492798,0.00354,0.00031,0.00002,0.00603,0.00000,0.00067,0.01057
1662155251.918815851211548,0.00434,0.00030,0.00133,0.00694,0.00000,0.00077,0.01368
1662155251.951516628265381,0.00432,0.00029,0.00115,0.00570,0.00000,0.00054,0.01200
1662155251.984645605087280,0.00425,0.00025,0.00149,0.00522,0.00029,0.00057,0.01206
1662155252.018224000930786,0.00351,0.00027,0.00030,0.00541,0.00011,0.00064,0.01024
1662155252.051583051681519,0.00357,0.00023,0.00527,0.00516,0.00056,0.00062,0.01541
1662155252.084597587585449,0.00344,0.00021,0.00016,0.00425,0.00149,0.00051,0.01007
1662155252.118182182312012,0.00339,0.00026,0.00003,0.00528,0.00028,0.00051,0.00974
1662155252.151553153991699,0.00373,0.00051,0.00003,0.00577,0.00000,0.00062,0.01066
1662155252.184828758239746,0.00377,0.00029,0.00030,0.00539,0.00024,0.00062,0.01061
1662155252.218211650848389,0.00444,0.00021,0.00008,0.00525,0.00041,0.00061,0.01100
1662155252.251798391342163,0.00411,0.00028,0.00040,0.00479,0.00047,0.00060,0.01065
1662155252.284840583801270,0.00358,0.00020,0.00021,0.00491,0.00000,0.00052,0.00943
1662155252.318327665328979,0.00277,0.00019,0.00001,0.00494,0.00000,0.00058,0.00850
1662155252.351819515228271,0.00360,0.00022,0.00024,0.00494,0.00000,0.00066,0.00966
1662155252.384845495223999,0.00379,0.00023,0.00009,0.00510,0.00010,0.00067,0.00997
1662155252.418260812759399,0.00348,0.00022,0.00076,0.00474,0.00013,0.00063,0.00996
1662155252.451672792434692,0.00321,0.00021,0.00304,0.00472,0.00072,0.00076,0.01267
1662155252.484729290008545,0.00506,0.00022,0.00008,0.00418,0.00028,0.00057,0.01038
1662155252.518287658691406,0.00328,0.00017,0.00012,0.00352,0.00026,0.00056,0.00791
1662155252.551733016967773,0.00325,0.00017,0.00015,0.00343,0.00000,0.00053,0.00754
1662155252.584737539291382,0.00340,0.00021,0.00004,0.00398,0.00029,0.00073,0.00865
1662155252.618313789367676,0.00342,0.00022,0.00003,0.00383,0.00042,0.00065,0.00858
1662155252.651609659194946,0.00312,0.00020,0.00003,0.00404,0.00584,0.00069,0.01392
1662155252.684876441955566,0.00349,0.00022,0.00003,0.00492,0.00000,0.00065,0.00932
1662155252.718130826950073,0.00342,0.00025,0.00003,0.00518,0.00000,0.00077,0.00966
1662155252.751695632934570,0.00348,0.00023,0.00004,0.00495,0.00000,0.00072,0.00944
1662155252.785017967224121,0.00381,0.00020,0.00003,0.00416,0.00009,0.00053,0.00881
1662155252.818133115768433,0.00363,0.00018,0.00003,0.00445,0.00013,0.00063,0.00906
1662155252.851702928543091,0.00352,0.00020,0.00336,0.00391,0.00074,0.00056,0.01230
1662155252.885085582733154,0.00339,0.00019,0.00003,0.00421,0.00024,0.00046,0.00851
1662155252.918166160583496,0.00389,0.00020,0.00003,0.00404,0.00026,0.00059,0.00901
1662155252.951653003692627,0.00366,0.00021,0.00003,0.00438,0.00000,0.00057,0.00884
1662155252.985024452209473,0.00308,0.00020,0.00003,0.00406,0.00005,0.00057,0.00798
1662155253.018136501312256,0.00408,0.00020,0.00004,0.00447,0.00035,0.00060,0.00974
1662155253.051626205444336,0.00384,0.00023,0.00003,0.00480,0.00049,0.00070,0.01009
1662155253.084999322891235,0.00433,0.00022,0.00003,0.00507,0.00000,0.00067,0.01033
1662155253.118148565292358,0.00366,0.00033,0.00004,0.00408,0.00000,0.00055,0.00866
1662155253.151585102081299,0.00321,0.00019,0.00004,0.00427,0.00000,0.00053,0.00825
1662155253.185012102127075,0.00308,0.00018,0.00003,0.00443,0.00013,0.00059,0.00843
1662155253.218134403228760,0.00346,0.00024,0.00003,0.00467,0.00014,0.00060,0.00913
1662155253.251616954803467,0.00407,0.00019,0.00361,0.00391,0.00078,0.00056,0.01313
1662155253.284999847412109,0.00330,0.00019,0.00007,0.00439,0.00141,0.00057,0.00994
1662155253.318295478820801,0.00351,0.00025,0.00003,0.00475,0.00032,0.00066,0.00952
1662155253.351471900939941,0.00368,0.00023,0.00003,0.00494,0.00000,0.00060,0.00949
1662155253.385200262069702,0.00325,0.00021,0.00006,0.00437,0.00005,0.00053,0.00848
1662155253.418386459350586,0.00346,0.00019,0.00003,0.00413,0.00016,0.00052,0.00849
1662155253.451555490493774,0.00385,0.00026,0.00004,0.00443,0.00043,0.00059,0.00960
1662155253.485240936279297,0.00336,0.00020,0.00005,0.00439,0.00000,0.00055,0.00855
1662155253.518401861190796,0.00370,0.00025,0.00003,0.00487,0.00000,0.00064,0.00949
1662155253.551591634750366,0.00350,0.00021,0.00003,0.00505,0.00000,0.00067,0.00947
1662155253.585064888000488,0.00323,0.00022,0.00003,0.00519,0.00014,0.00062,0.00942
1662155253.618429422378540,0.00325,0.00023,0.00003,0.00531,0.00014,0.00058,0.00954
1662155253.651676416397095,0.00333,0.00025,0.00412,0.00514,0.00100,0.00078,0.01463
1662155253.685031175613403,0.00375,0.00023,0.00013,0.00484,0.00002,0.00068,0.00966
1662155253.718404531478882,0.00411,0.00021,0.00005,0.00416,0.00022,0.00059,0.00935
1662155253.751552581787109,0.00338,0.00024,0.00019,0.00421,0.00000,0.00071,0.00872
1662155253.785176992416382,0.00360,0.00022,0.00003,0.00443,0.00004,0.00063,0.00895
1662155253.818602085113525,0.00330,0.00024,0.00003,0.00477,0.00023,0.00069,0.00927
1662155253.851647853851318,0.00341,0.00026,0.00003,0.00487,0.00051,0.00072,0.00980
1662155253.885106801986694,0.00342,0.00024,0.00003,0.00472,0.00000,0.00066,0.00906
1662155253.918642520904541,0.00344,0.00028,0.00078,0.00509,0.00006,0.00075,0.01041
1662155253.951646566390991,0.00331,0.00021,0.00006,0.00494,0.00000,0.00059,0.00912
1662155253.985172271728516,0.00325,0.00026,0.00006,0.00483,0.00010,0.00062,0.00911
1662155254.018549442291260,0.00353,0.00023,0.00004,0.00486,0.00014,0.00062,0.00942
1662155254.051826000213623,0.00360,0.00026,0.00606,0.00499,0.00092,0.00072,0.01656
1662155254.085087060928345,0.00353,0.00021,0.00003,0.00491,0.00005,0.00060,0.00934
1662155254.118650197982788,0.00359,0.00026,0.00003,0.00494,0.00033,0.00088,0.01003
1662155254.151936292648315,0.00414,0.00022,0.00003,0.00421,0.00000,0.00050,0.00910
1662155254.185182809829712,0.00295,0.00021,0.00003,0.00401,0.00000,0.00051,0.00771
1662155254.218683958053589,0.00286,0.00019,0.00003,0.00446,0.00016,0.00052,0.00821
1662155254.252205848693848,0.00318,0.00021,0.00003,0.00388,0.00018,0.00048,0.00795
1662155254.285092353820801,0.00388,0.00019,0.00003,0.00409,0.00000,0.00052,0.00870
1662155254.318559408187866,0.00332,0.00019,0.00049,0.00380,0.00003,0.00044,0.00827
