# timestamp(s) tx ty tz qx qy qz qw
1403636580.83856 4.688319 -1.786938 0.783338 -0.153029 -0.827383 -0.082152 0.534108
1403636580.84356 4.688177 -1.786770 0.787350 -0.152990 -0.826976 -0.082863 0.534640
1403636580.84856 4.688028 -1.786598 0.791382 -0.152945 -0.826562 -0.083605 0.535178
1403636580.85356 4.687878 -1.786421 0.795429 -0.152884 -0.826146 -0.084391 0.535715
1403636580.85856 4.687727 -1.786240 0.799484 -0.152821 -0.825731 -0.085213 0.536244
1403636580.86356 4.687579 -1.786059 0.803540 -0.152768 -0.825314 -0.086049 0.536768
1403636580.86856 4.687435 -1.785881 0.807594 -0.152725 -0.824896 -0.086890 0.537289
1403636580.87356 4.687295 -1.785709 0.811642 -0.152680 -0.824481 -0.087725 0.537804
1403636580.87856 4.687158 -1.785544 0.815682 -0.152627 -0.824067 -0.088553 0.538317
1403636580.88356 4.687025 -1.785390 0.819712 -0.152566 -0.823657 -0.089371 0.538828
1403636580.88856 4.686893 -1.785247 0.823734 -0.152496 -0.823250 -0.090170 0.539337
1403636580.89356 4.686763 -1.785116 0.827749 -0.152427 -0.822845 -0.090943 0.539846
1403636580.89856 4.686631 -1.785000 0.831759 -0.152367 -0.822438 -0.091677 0.540360
1403636580.90356 4.686495 -1.784898 0.835765 -0.152312 -0.822028 -0.092362 0.540883
1403636580.90856 4.686355 -1.784810 0.839771 -0.152266 -0.821619 -0.092986 0.541412
1403636580.91356 4.686208 -1.784735 0.843777 -0.152228 -0.821204 -0.093543 0.541956
1403636580.91856 4.686055 -1.784671 0.847783 -0.152194 -0.820784 -0.094039 0.542516
1403636580.92356 4.685896 -1.784616 0.851787 -0.152157 -0.820361 -0.094491 0.543088
1403636580.92856 4.685735 -1.784569 0.855787 -0.152105 -0.819932 -0.094913 0.543677
1403636580.93356 4.685573 -1.784531 0.859778 -0.152041 -0.819501 -0.095315 0.544275
1403636580.93856 4.685412 -1.784501 0.863755 -0.151968 -0.819076 -0.095706 0.544867
1403636580.94356 4.685256 -1.784477 0.867713 -0.151878 -0.818655 -0.096084 0.545458
1403636580.94856 4.685107 -1.784460 0.871652 -0.151766 -0.818238 -0.096455 0.546050
1403636580.95356 4.684966 -1.784448 0.875572 -0.151625 -0.817834 -0.096825 0.546629
1403636580.95856 4.684834 -1.784438 0.879471 -0.151458 -0.817446 -0.097201 0.547190
1403636580.96356 4.684712 -1.784429 0.883348 -0.151265 -0.817072 -0.097593 0.547733
1403636580.96856 4.684597 -1.784418 0.887202 -0.151059 -0.816707 -0.097991 0.548263
1403636580.97356 4.684487 -1.784407 0.891033 -0.150852 -0.816342 -0.098367 0.548796
1403636580.97856 4.684381 -1.784396 0.894840 -0.150658 -0.815973 -0.098696 0.549339
1403636580.98356 4.684278 -1.784389 0.898620 -0.150482 -0.815602 -0.098966 0.549890
1403636580.98856 4.684175 -1.784389 0.902373 -0.150307 -0.815228 -0.099180 0.550455
1403636580.99356 4.684071 -1.784396 0.906096 -0.150133 -0.814850 -0.099350 0.551031
1403636580.99856 4.683965 -1.784412 0.909790 -0.149970 -0.814476 -0.099470 0.551607
1403636581.00356 4.683859 -1.784436 0.913456 -0.149831 -0.814108 -0.099537 0.552176
1403636581.00856 4.683753 -1.784466 0.917092 -0.149731 -0.813742 -0.099555 0.552739
1403636581.01356 4.683646 -1.784502 0.920697 -0.149681 -0.813376 -0.099524 0.553298
1403636581.01856 4.683538 -1.784541 0.924275 -0.149685 -0.813003 -0.099450 0.553858
1403636581.02356 4.683429 -1.784582 0.927831 -0.149725 -0.812615 -0.099351 0.554435
1403636581.02856 4.683320 -1.784624 0.931368 -0.149770 -0.812212 -0.099247 0.555032
1403636581.03356 4.683212 -1.784666 0.934889 -0.149790 -0.811806 -0.099162 0.555635
1403636581.03856 4.683109 -1.784704 0.938395 -0.149766 -0.811404 -0.099111 0.556238
1403636581.04356 4.683012 -1.784735 0.941884 -0.149687 -0.811014 -0.099109 0.556830
1403636581.04856 4.682922 -1.784757 0.945354 -0.149563 -0.810644 -0.099152 0.557393
1403636581.05356 4.682843 -1.784769 0.948805 -0.149423 -0.810293 -0.099225 0.557929
1403636581.05856 4.682772 -1.784769 0.952237 -0.149276 -0.809950 -0.099325 0.558449
1403636581.06356 4.682709 -1.784758 0.955649 -0.149126 -0.809612 -0.099450 0.558956
