# timestamp(s) tx ty tz qx qy qz qw
1403637132.88832 4.631117 -1.786812 0.577113 -0.156367 -0.776345 -0.072229 0.606317
1403637132.89332 4.631114 -1.786783 0.577110 -0.156397 -0.776307 -0.072219 0.606359
1403637132.89832 4.631111 -1.786751 0.577107 -0.156411 -0.776278 -0.072222 0.606392
1403637132.90332 4.631110 -1.786716 0.577103 -0.156406 -0.776264 -0.072245 0.606409
1403637132.90832 4.631110 -1.786677 0.577097 -0.156384 -0.776262 -0.072298 0.606412
1403637132.91332 4.631111 -1.786634 0.577090 -0.156342 -0.776275 -0.072379 0.606396
1403637132.91832 4.631113 -1.786588 0.577082 -0.156286 -0.776305 -0.072474 0.606360
1403637132.92332 4.631113 -1.786540 0.577075 -0.156227 -0.776335 -0.072575 0.606325
1403637132.92832 4.631110 -1.786495 0.577071 -0.156169 -0.776355 -0.072672 0.606303
1403637132.93332 4.631103 -1.786455 0.577068 -0.156126 -0.776361 -0.072757 0.606296
1403637132.93832 4.631090 -1.786424 0.577066 -0.156100 -0.776359 -0.072810 0.606298
1403637132.94332 4.631074 -1.786404 0.577064 -0.156098 -0.776353 -0.072817 0.606306
1403637132.94832 4.631053 -1.786396 0.577058 -0.156137 -0.776341 -0.072788 0.606315
1403637132.95332 4.631032 -1.786399 0.577050 -0.156218 -0.776324 -0.072726 0.606323
1403637132.95832 4.631010 -1.786411 0.577041 -0.156337 -0.776298 -0.072638 0.606336
1403637132.96332 4.630989 -1.786433 0.577031 -0.156490 -0.776267 -0.072522 0.606350
1403637132.96832 4.630969 -1.786462 0.577021 -0.156671 -0.776242 -0.072376 0.606353
1403637132.97332 4.630946 -1.786497 0.577010 -0.156856 -0.776233 -0.072210 0.606337
1403637132.97832 4.630922 -1.786535 0.576996 -0.157028 -0.776238 -0.072033 0.606307
1403637132.98332 4.630895 -1.786572 0.576981 -0.157182 -0.776257 -0.071863 0.606263
1403637132.98832 4.630869 -1.786601 0.576965 -0.157310 -0.776291 -0.071725 0.606202
1403637132.99332 4.630841 -1.786621 0.576953 -0.157407 -0.776337 -0.071633 0.606129
1403637132.99832 4.630813 -1.786629 0.576944 -0.157480 -0.776385 -0.071585 0.606054
1403637133.00332 4.630784 -1.786629 0.576938 -0.157533 -0.776427 -0.071570 0.605989
1403637133.00832 4.630753 -1.786621 0.576933 -0.157574 -0.776462 -0.071569 0.605933
1403637133.01332 4.630719 -1.786610 0.576926 -0.157607 -0.776496 -0.071559 0.605882
1403637133.01832 4.630684 -1.786597 0.576917 -0.157632 -0.776522 -0.071544 0.605844
1403637133.02332 4.630650 -1.786583 0.576909 -0.157650 -0.776529 -0.071536 0.605831
1403637133.02832 4.630620 -1.786567 0.576904 -0.157665 -0.776518 -0.071545 0.605840
1403637133.03332 4.630597 -1.786550 0.576902 -0.157682 -0.776493 -0.071576 0.605864
1403637133.03832 4.630583 -1.786531 0.576895 -0.157696 -0.776465 -0.071624 0.605892
1403637133.04332 4.630575 -1.786515 0.576890 -0.157702 -0.776447 -0.071677 0.605907
1403637133.04832 4.630573 -1.786504 0.576880 -0.157703 -0.776448 -0.071724 0.605899
1403637133.05332 4.630580 -1.786499 0.576868 -0.157690 -0.776471 -0.071748 0.605870
1403637133.05832 4.630594 -1.786501 0.576860 -0.157647 -0.776505 -0.071751 0.605838
1403637133.06332 4.630617 -1.786506 0.576862 -0.157567 -0.776534 -0.071754 0.605821
1403637133.06832 4.630650 -1.786513 0.576880 -0.157454 -0.776544 -0.071772 0.605835
1403637133.07332 4.630696 -1.786518 0.576918 -0.157323 -0.776518 -0.071821 0.605897
1403637133.07832 4.630756 -1.786521 0.576976 -0.157201 -0.776446 -0.071904 0.606011
1403637133.08332 4.630830 -1.786525 0.577049 -0.157103 -0.776334 -0.071992 0.606169
1403637133.08832 4.630919 -1.786534 0.577124 -0.157029 -0.776205 -0.072039 0.606348
1403637133.09332 4.631013 -1.786561 0.577208 -0.156979 -0.776075 -0.072005 0.606532
1403637133.09832 4.631111 -1.786605 0.577290 -0.156936 -0.775961 -0.071877 0.606703
1403637133.10332 4.631213 -1.786663 0.577369 -0.156896 -0.775870 -0.071669 0.606855
1403637133.10832 4.631319 -1.786730 0.577445 -0.156868 -0.775792 -0.071412 0.606993
1403637133.11332 4.631430 -1.786801 0.577520 -0.156850 -0.775719 -0.071141 0.607122
1403637133.11832 4.631544 -1.786870 0.577597 -0.156844 -0.775650 -0.070867 0.607245
1403637133.12332 4.631658 -1.786936 0.577675 -0.156857 -0.775574 -0.070589 0.607371
1403637133.12832 4.631773 -1.786996 0.577756 -0.156892 -0.775489 -0.070334 0.607499
1403637133.13332 4.631889 -1.787047 0.577839 -0.156939 -0.775407 -0.070120 0.607617
1403637133.13832 4.632008 -1.787084 0.577913 -0.156978 -0.775335 -0.069958 0.607716
1403637133.14332 4.632124 -1.787116 0.577998 -0.156998 -0.775294 -0.069861 0.607775
1403637133.14832 4.632238 -1.787140 0.578085 -0.156998 -0.775282 -0.069821 0.607795
1403637133.15332 4.632350 -1.787154 0.578179 -0.156982 -0.775285 -0.069830 0.607793
1403637133.15832 4.632456 -1.787159 0.578280 -0.156953 -0.775304 -0.069881 0.607771
1403637133.16332 4.632557 -1.787153 0.578390 -0.156917 -0.775324 -0.069972 0.607744
1403637133.16832 4.632651 -1.787134 0.578509 -0.156873 -0.775333 -0.070104 0.607729
1403637133.17332 4.632738 -1.787104 0.578638 -0.156814 -0.775335 -0.070276 0.607722
1403637133.17832 4.632820 -1.787063 0.578771 -0.156740 -0.775327 -0.070483 0.607727
1403637133.18332 4.632896 -1.787011 0.578905 -0.156644 -0.775320 -0.070732 0.607733
1403637133.18832 4.632967 -1.786949 0.579035 -0.156544 -0.775327 -0.071031 0.607715
1403637133.19332 4.633032 -1.786879 0.579157 -0.156450 -0.775350 -0.071368 0.607670
1403637133.19832 4.633090 -1.786803 0.579269 -0.156351 -0.775388 -0.071736 0.607603
