# timestamp(s) tx ty tz qx qy qz qw
1403638128.94010 4.677066 -1.749440 0.568567 -0.761130 -0.355916 -0.485843 0.240749
1403638128.94510 4.677072 -1.749469 0.568555 -0.761103 -0.355913 -0.485868 0.240790
1403638128.95010 4.677071 -1.749498 0.568542 -0.761076 -0.355912 -0.485887 0.240841
1403638128.95510 4.677063 -1.749527 0.568527 -0.761048 -0.355909 -0.485909 0.240890
1403638128.96010 4.677050 -1.749558 0.568510 -0.761034 -0.355904 -0.485913 0.240934
1403638128.96510 4.677035 -1.749590 0.568489 -0.761037 -0.355900 -0.485891 0.240972
1403638128.97010 4.677020 -1.749624 0.568467 -0.761056 -0.355894 -0.485856 0.240992
1403638128.97510 4.677007 -1.749659 0.568447 -0.761079 -0.355886 -0.485828 0.240989
1403638128.98010 4.677001 -1.749693 0.568430 -0.761095 -0.355881 -0.485815 0.240970
1403638128.98510 4.677000 -1.749726 0.568414 -0.761109 -0.355886 -0.485808 0.240934
1403638128.99010 4.677004 -1.749758 0.568400 -0.761117 -0.355896 -0.485813 0.240885
1403638128.99510 4.677011 -1.749784 0.568388 -0.761112 -0.355911 -0.485833 0.240838
1403638129.00010 4.677020 -1.749805 0.568374 -0.761102 -0.355923 -0.485854 0.240810
1403638129.00510 4.677031 -1.749819 0.568351 -0.761113 -0.355927 -0.485836 0.240803
1403638129.01010 4.677044 -1.749825 0.568318 -0.761150 -0.355928 -0.485772 0.240814
1403638129.01510 4.677057 -1.749823 0.568287 -0.761175 -0.355930 -0.485714 0.240848
1403638129.02010 4.677071 -1.749814 0.568272 -0.761157 -0.355934 -0.485715 0.240898
1403638129.02510 4.677087 -1.749802 0.568278 -0.761088 -0.355945 -0.485792 0.240945
1403638129.03010 4.677102 -1.749786 0.568300 -0.760988 -0.355984 -0.485907 0.240971
1403638129.03510 4.677116 -1.749769 0.568328 -0.760889 -0.356080 -0.485999 0.240957
1403638129.04010 4.677127 -1.749751 0.568360 -0.760787 -0.356233 -0.486074 0.240900
1403638129.04510 4.677137 -1.749737 0.568399 -0.760673 -0.356428 -0.486161 0.240798
1403638129.05010 4.677147 -1.749729 0.568447 -0.760554 -0.356646 -0.486264 0.240645
1403638129.05510 4.677160 -1.749724 0.568504 -0.760439 -0.356869 -0.486376 0.240448
1403638129.06010 4.677174 -1.749721 0.568565 -0.760333 -0.357102 -0.486488 0.240211
1403638129.06510 4.677187 -1.749714 0.568631 -0.760229 -0.357349 -0.486602 0.239942
