# timestamp(s) tx ty tz qx qy qz qw
1403715274.30214 0.878612 2.142470 0.947262 -0.828459 -0.058956 -0.553641 0.060514
1403715274.30714 0.878658 2.142398 0.947252 -0.828433 -0.059051 -0.553664 0.060571
1403715274.31214 0.878703 2.142317 0.947242 -0.828405 -0.059100 -0.553697 0.060600
1403715274.31714 0.878746 2.142225 0.947230 -0.828395 -0.059095 -0.553715 0.060577
1403715274.32214 0.878787 2.142125 0.947213 -0.828410 -0.059057 -0.553704 0.060511
1403715274.32714 0.878826 2.142021 0.947195 -0.828430 -0.058994 -0.553690 0.060430
1403715274.33214 0.878862 2.141919 0.947181 -0.828434 -0.058938 -0.553697 0.060351
1403715274.33714 0.878896 2.141825 0.947171 -0.828421 -0.058910 -0.553727 0.060292
1403715274.34214 0.878927 2.141743 0.947165 -0.828396 -0.058910 -0.553766 0.060273
1403715274.34714 0.878958 2.141674 0.947159 -0.828368 -0.058930 -0.553802 0.060311
1403715274.35214 0.878989 2.141612 0.947148 -0.828353 -0.058963 -0.553813 0.060386
1403715274.35714 0.879017 2.141551 0.947135 -0.828353 -0.058997 -0.553801 0.060456
1403715274.36214 0.879045 2.141483 0.947123 -0.828362 -0.059011 -0.553783 0.060489
1403715274.36714 0.879072 2.141405 0.947114 -0.828371 -0.058994 -0.553775 0.060457
1403715274.37214 0.879098 2.141317 0.947110 -0.828367 -0.058934 -0.553796 0.060382
1403715274.37714 0.879124 2.141231 0.947108 -0.828360 -0.058872 -0.553822 0.060298
1403715274.38214 0.879149 2.141160 0.947102 -0.828361 -0.058847 -0.553826 0.060273
1403715274.38714 0.879174 2.141115 0.947091 -0.828370 -0.058900 -0.553799 0.060334
1403715274.39214 0.879200 2.141091 0.947077 -0.828391 -0.059029 -0.553740 0.060460
1403715274.39714 0.879225 2.141070 0.947065 -0.828408 -0.059170 -0.553686 0.060594
1403715274.40214 0.879256 2.141018 0.947055 -0.828415 -0.059247 -0.553660 0.060657
1403715274.40714 0.879283 2.140944 0.947052 -0.828421 -0.059202 -0.553661 0.060604
1403715274.41214 0.879311 2.140846 0.947051 -0.828429 -0.059037 -0.553685 0.060441
1403715274.41714 0.879338 2.140748 0.947049 -0.828442 -0.058830 -0.553709 0.060255
1403715274.42214 0.879364 2.140675 0.947041 -0.828461 -0.058689 -0.553704 0.060167
1403715274.42714 0.879386 2.140640 0.947030 -0.828480 -0.058682 -0.553670 0.060217
1403715274.43214 0.879405 2.140638 0.947021 -0.828487 -0.058797 -0.553633 0.060365
1403715274.43714 0.879420 2.140648 0.947019 -0.828468 -0.058970 -0.553623 0.060533
1403715274.44214 0.879433 2.140649 0.947023 -0.828430 -0.059112 -0.553651 0.060661
1403715274.44714 0.879446 2.140628 0.947028 -0.828399 -0.059168 -0.553685 0.060713
1403715274.45214 0.879472 2.140568 0.947022 -0.828388 -0.059116 -0.553711 0.060687
1403715274.45714 0.879490 2.140500 0.947019 -0.828391 -0.058997 -0.553731 0.060583
1403715274.46214 0.879510 2.140426 0.947015 -0.828404 -0.058848 -0.553740 0.060456
1403715274.46714 0.879530 2.140360 0.947011 -0.828422 -0.058738 -0.553740 0.060324
1403715274.47214 0.879547 2.140310 0.947008 -0.828429 -0.058706 -0.553744 0.060222
1403715274.47714 0.879561 2.140280 0.947012 -0.828411 -0.058736 -0.553770 0.060206
1403715274.48214 0.879574 2.140271 0.947019 -0.828371 -0.058817 -0.553815 0.060261
1403715274.48714 0.879586 2.140275 0.947024 -0.828336 -0.058920 -0.553844 0.060378
1403715274.49214 0.879597 2.140284 0.947025 -0.828314 -0.059032 -0.553851 0.060509
1403715274.49714 0.879607 2.140287 0.947023 -0.828306 -0.059137 -0.553842 0.060595
1403715274.50214 0.879637 2.140248 0.947013 -0.828321 -0.059210 -0.553809 0.060612
1403715274.50714 0.879651 2.140215 0.947009 -0.828339 -0.059239 -0.553788 0.060529
1403715274.51214 0.879664 2.140171 0.947007 -0.828354 -0.059200 -0.553783 0.060407
1403715274.51714 0.879674 2.140127 0.947008 -0.828364 -0.059108 -0.553790 0.060298
1403715274.52214 0.879681 2.140089 0.947008 -0.828367 -0.058990 -0.553806 0.060229
1403715274.52714 0.879687 2.140062 0.947007 -0.828370 -0.058890 -0.553813 0.060220
1403715274.53214 0.879691 2.140052 0.947005 -0.828378 -0.058854 -0.553801 0.060260
