# timestamp(s) tx ty tz qx qy qz qw
1403715524.90714 0.515356 1.996773 0.971104 0.789985 -0.205376 0.554528 0.161996
1403715524.91214 0.515342 1.996723 0.971077 0.790015 -0.205283 0.554546 0.161904
1403715524.91714 0.515321 1.996665 0.971051 0.790028 -0.205222 0.554564 0.161860
1403715524.92214 0.515292 1.996597 0.971028 0.790012 -0.205215 0.554587 0.161869
1403715524.92714 0.515255 1.996519 0.971005 0.789987 -0.205265 0.554590 0.161917
1403715524.93214 0.515214 1.996438 0.970981 0.789949 -0.205355 0.554589 0.161990
1403715524.93714 0.515176 1.996359 0.970954 0.789916 -0.205455 0.554581 0.162051
1403715524.94214 0.515143 1.996290 0.970924 0.789905 -0.205534 0.554562 0.162069
1403715524.94714 0.515120 1.996234 0.970893 0.789908 -0.205550 0.554559 0.162049
1403715524.95214 0.515106 1.996191 0.970863 0.789933 -0.205509 0.554554 0.161995
1403715524.95714 0.515106 1.996163 0.970832 0.789962 -0.205427 0.554568 0.161910
1403715524.96214 0.515098 1.996129 0.970804 0.789978 -0.205350 0.554594 0.161838
1403715524.96714 0.515086 1.996091 0.970779 0.789988 -0.205303 0.554614 0.161782
1403715524.97214 0.515067 1.996044 0.970755 0.789979 -0.205304 0.554632 0.161760
1403715524.97714 0.515042 1.995989 0.970733 0.789963 -0.205351 0.554631 0.161780
1403715524.98214 0.515013 1.995929 0.970709 0.789950 -0.205419 0.554609 0.161836
1403715524.98714 0.514985 1.995872 0.970687 0.789937 -0.205477 0.554585 0.161907
1403715524.99214 0.514962 1.995826 0.970668 0.789933 -0.205495 0.554569 0.161956
1403715524.99714 0.514947 1.995794 0.970651 0.789936 -0.205461 0.554584 0.161935
1403715525.00214 0.514936 1.995769 0.970636 0.789935 -0.205406 0.554629 0.161858
1403715525.00714 0.514940 1.995751 0.970634 0.789941 -0.205354 0.554662 0.161782
1403715525.01214 0.514923 1.995715 0.970619 0.789926 -0.205403 0.554669 0.161765
1403715525.01714 0.514895 1.995665 0.970601 0.789904 -0.205511 0.554640 0.161841
1403715525.02214 0.514861 1.995610 0.970584 0.789883 -0.205629 0.554589 0.161965
1403715525.02714 0.514834 1.995565 0.970569 0.789860 -0.205712 0.554563 0.162058
1403715525.03214 0.514823 1.995544 0.970555 0.789861 -0.205689 0.554567 0.162070
1403715525.03714 0.514829 1.995549 0.970542 0.789886 -0.205564 0.554613 0.161950
1403715525.04214 0.514843 1.995562 0.970528 0.789916 -0.205396 0.554688 0.161759
1403715525.04714 0.514851 1.995564 0.970512 0.789968 -0.205254 0.554713 0.161602
1403715525.05214 0.514841 1.995542 0.970493 0.790005 -0.205211 0.554688 0.161559
1403715525.05714 0.514785 1.995441 0.970465 0.790001 -0.205231 0.554683 0.161572
1403715525.06214 0.514750 1.995386 0.970449 0.789980 -0.205351 0.554634 0.161689
1403715525.06714 0.514714 1.995333 0.970436 0.789943 -0.205478 0.554608 0.161797
1403715525.07214 0.514684 1.995288 0.970422 0.789912 -0.205580 0.554595 0.161864
1403715525.07714 0.514663 1.995259 0.970406 0.789906 -0.205630 0.554580 0.161879
1403715525.08214 0.514653 1.995244 0.970388 0.789922 -0.205627 0.554572 0.161834
1403715525.08714 0.514653 1.995242 0.970370 0.789950 -0.205581 0.554577 0.161740
1403715525.09214 0.514659 1.995249 0.970357 0.789985 -0.205493 0.554591 0.161632
1403715525.09714 0.514665 1.995256 0.970349 0.790003 -0.205415 0.554630 0.161509
1403715525.10214 0.514663 1.995254 0.970343 0.790001 -0.205395 0.554666 0.161424
1403715525.10714 0.514586 1.995141 0.970339 0.789990 -0.205439 0.554656 0.161454
1403715525.11214 0.514563 1.995107 0.970332 0.789951 -0.205531 0.554657 0.161522
1403715525.11714 0.514538 1.995066 0.970321 0.789923 -0.205648 0.554625 0.161625
1403715525.12214 0.514516 1.995030 0.970309 0.789913 -0.205739 0.554578 0.161716
1403715525.12714 0.514502 1.995007 0.970301 0.789901 -0.205771 0.554569 0.161763
1403715525.13214 0.514496 1.994999 0.970294 0.789903 -0.205736 0.554581 0.161757
1403715525.13714 0.514499 1.995004 0.970288 0.789908 -0.205663 0.554619 0.161699
1403715525.14214 0.514506 1.995015 0.970282 0.789916 -0.205575 0.554662 0.161623
1403715525.14714 0.514511 1.995025 0.970275 0.789948 -0.205496 0.554667 0.161551
1403715525.15214 0.514511 1.995028 0.970267 0.789974 -0.205451 0.554659 0.161506
1403715525.15714 0.514452 1.994914 0.970261 0.789971 -0.205460 0.554659 0.161511
1403715525.16214 0.514438 1.994892 0.970253 0.789967 -0.205510 0.554631 0.161561
1403715525.16714 0.514420 1.994868 0.970250 0.789938 -0.205591 0.554619 0.161639
1403715525.17214 0.514403 1.994846 0.970247 0.789904 -0.205678 0.554616 0.161707
1403715525.17714 0.514393 1.994833 0.970242 0.789883 -0.205742 0.554616 0.161732
1403715525.18214 0.514392 1.994834 0.970235 0.789883 -0.205761 0.554615 0.161710
1403715525.18714 0.514399 1.994846 0.970226 0.789898 -0.205748 0.554618 0.161641
1403715525.19214 0.514408 1.994864 0.970218 0.789918 -0.205722 0.554624 0.161553
1403715525.19714 0.514416 1.994881 0.970215 0.789930 -0.205698 0.554635 0.161493
1403715525.20214 0.514420 1.994890 0.970215 0.789928 -0.205711 0.554639 0.161471
1403715525.20714 0.514376 1.994811 0.970197 0.789922 -0.205735 0.554635 0.161481
1403715525.21214 0.514377 1.994809 0.970195 0.789918 -0.205777 0.554626 0.161482
1403715525.21714 0.514386 1.994819 0.970193 0.789935 -0.205763 0.554620 0.161437
1403715525.22214 0.514402 1.994842 0.970193 0.789960 -0.205690 0.554632 0.161362
1403715525.22714 0.514419 1.994866 0.970196 0.789985 -0.205598 0.554650 0.161297
1403715525.23214 0.514427 1.994881 0.970203 0.789995 -0.205540 0.554661 0.161283
1403715525.23714 0.514419 1.994877 0.970213 0.789970 -0.205573 0.554665 0.161351
1403715525.24214 0.514398 1.994856 0.970222 0.789927 -0.205701 0.554636 0.161498
1403715525.24714 0.514374 1.994828 0.970227 0.789879 -0.205878 0.554593 0.161652
1403715525.25214 0.514358 1.994813 0.970228 0.789850 -0.206026 0.554551 0.161750
1403715525.25714 0.514353 1.994777 0.970207 0.789840 -0.206071 0.554545 0.161763
1403715525.26214 0.514361 1.994790 0.970204 0.789859 -0.206014 0.554565 0.161671
1403715525.26714 0.514377 1.994813 0.970204 0.789900 -0.205878 0.554592 0.161552
1403715525.27214 0.514391 1.994834 0.970204 0.789931 -0.205749 0.554631 0.161432
1403715525.27714 0.514398 1.994843 0.970205 0.789942 -0.205683 0.554662 0.161356
1403715525.28214 0.514396 1.994838 0.970207 0.789935 -0.205690 0.554674 0.161343
1403715525.28714 0.514384 1.994820 0.970206 0.789918 -0.205770 0.554656 0.161382
1403715525.29214 0.514368 1.994793 0.970201 0.789902 -0.205893 0.554615 0.161448
1403715525.29714 0.514353 1.994767 0.970197 0.789896 -0.206006 0.554557 0.161533
1403715525.30214 0.514344 1.994747 0.970195 0.789904 -0.206074 0.554498 0.161608
1403715525.30714 0.514423 1.994812 0.970180 0.789906 -0.206090 0.554486 0.161621
1403715525.31214 0.514436 1.994815 0.970177 0.789936 -0.206046 0.554467 0.161591
1403715525.31714 0.514457 1.994831 0.970179 0.789969 -0.205961 0.554479 0.161500
1403715525.32214 0.514481 1.994850 0.970182 0.790001 -0.205870 0.554501 0.161383
1403715525.32714 0.514501 1.994863 0.970183 0.790038 -0.205813 0.554496 0.161290
1403715525.33214 0.514511 1.994865 0.970183 0.790068 -0.205810 0.554462 0.161266
1403715525.33714 0.514513 1.994855 0.970187 0.790070 -0.205857 0.554428 0.161314
1403715525.34214 0.514507 1.994839 0.970195 0.790058 -0.205936 0.554392 0.161396
1403715525.34714 0.514498 1.994823 0.970204 0.790040 -0.206026 0.554362 0.161472
1403715525.35214 0.514492 1.994815 0.970216 0.790011 -0.206094 0.554364 0.161518
1403715525.35714 0.514534 1.994833 0.970199 0.790003 -0.206102 0.554368 0.161538
1403715525.36214 0.514541 1.994839 0.970203 0.790003 -0.206082 0.554384 0.161506
1403715525.36714 0.514552 1.994854 0.970204 0.790023 -0.206035 0.554393 0.161438
1403715525.37214 0.514565 1.994871 0.970205 0.790054 -0.205978 0.554390 0.161367
1403715525.37714 0.514577 1.994888 0.970209 0.790069 -0.205924 0.554401 0.161322
1403715525.38214 0.514583 1.994899 0.970216 0.790076 -0.205897 0.554410 0.161294
1403715525.38714 0.514584 1.994903 0.970226 0.790070 -0.205897 0.554415 0.161310
1403715525.39214 0.514580 1.994902 0.970239 0.790047 -0.205927 0.554422 0.161354
1403715525.39714 0.514576 1.994900 0.970251 0.790029 -0.205979 0.554421 0.161383
1403715525.40214 0.514577 1.994902 0.970259 0.790029 -0.206018 0.554405 0.161387
1403715525.40714 0.514597 1.994909 0.970226 0.790031 -0.206027 0.554397 0.161393
1403715525.41214 0.514600 1.994909 0.970224 0.790052 -0.206053 0.554352 0.161412
1403715525.41714 0.514598 1.994908 0.970227 0.790055 -0.206089 0.554319 0.161464
1403715525.42214 0.514594 1.994911 0.970232 0.790039 -0.206137 0.554308 0.161517
1403715525.42714 0.514599 1.994926 0.970239 0.790024 -0.206157 0.554321 0.161521
1403715525.43214 0.514617 1.994958 0.970243 0.790036 -0.206110 0.554345 0.161442
1403715525.43714 0.514650 1.995006 0.970243 0.790075 -0.205997 0.554378 0.161281
1403715525.44214 0.514688 1.995058 0.970241 0.790144 -0.205852 0.554385 0.161105
1403715525.44714 0.514715 1.995096 0.970238 0.790201 -0.205755 0.554370 0.161003
1403715525.45214 0.514723 1.995110 0.970239 0.790217 -0.205757 0.554339 0.161027
1403715525.45714 0.514705 1.995056 0.970209 0.790211 -0.205802 0.554308 0.161105
1403715525.46214 0.514691 1.995037 0.970210 0.790171 -0.205942 0.554270 0.161251
1403715525.46714 0.514681 1.995024 0.970209 0.790136 -0.206066 0.554237 0.161379
1403715525.47214 0.514684 1.995024 0.970207 0.790123 -0.206137 0.554212 0.161438
1403715525.47714 0.514700 1.995042 0.970206 0.790136 -0.206131 0.554200 0.161423
1403715525.48214 0.514726 1.995072 0.970206 0.790168 -0.206045 0.554202 0.161369
1403715525.48714 0.514756 1.995110 0.970207 0.790205 -0.205937 0.554217 0.161276
1403715525.49214 0.514785 1.995149 0.970210 0.790231 -0.205833 0.554242 0.161196
1403715525.49714 0.514810 1.995184 0.970215 0.790246 -0.205758 0.554261 0.161152
1403715525.50214 0.514825 1.995205 0.970219 0.790252 -0.205745 0.554260 0.161143
1403715525.50714 0.514760 1.995089 0.970220 0.790223 -0.205798 0.554255 0.161232
1403715525.51214 0.514753 1.995074 0.970222 0.790186 -0.205907 0.554241 0.161323
