# timestamp(s) tx ty tz qx qy qz qw
1403715888.37906 0.898029 2.028208 0.955711 0.827881 -0.050831 0.556249 0.051153
1403715888.38406 0.898059 2.028148 0.955674 0.827886 -0.050832 0.556242 0.051146
1403715888.38906 0.898087 2.028090 0.955638 0.827890 -0.050839 0.556236 0.051148
1403715888.39406 0.898115 2.028032 0.955603 0.827895 -0.050846 0.556227 0.051152
1403715888.39906 0.898141 2.027975 0.955569 0.827899 -0.050850 0.556220 0.051152
1403715888.40406 0.898167 2.027919 0.955536 0.827901 -0.050855 0.556217 0.051147
1403715888.40906 0.898191 2.027865 0.955504 0.827904 -0.050859 0.556212 0.051141
1403715888.41406 0.898215 2.027814 0.955473 0.827907 -0.050863 0.556208 0.051138
1403715888.41906 0.898238 2.027765 0.955442 0.827909 -0.050867 0.556205 0.051139
1403715888.42406 0.898261 2.027717 0.955410 0.827913 -0.050865 0.556199 0.051138
1403715888.42906 0.898283 2.027684 0.955379 0.827912 -0.050864 0.556201 0.051139
1403715888.43406 0.898305 2.027639 0.955350 0.827910 -0.050863 0.556205 0.051138
1403715888.43906 0.898325 2.027596 0.955321 0.827911 -0.050864 0.556204 0.051130
1403715888.44406 0.898344 2.027554 0.955293 0.827914 -0.050867 0.556200 0.051119
1403715888.44906 0.898363 2.027513 0.955266 0.827915 -0.050867 0.556199 0.051114
1403715888.45406 0.898381 2.027473 0.955240 0.827916 -0.050868 0.556196 0.051115
1403715888.45906 0.898399 2.027434 0.955214 0.827917 -0.050871 0.556195 0.051113
1403715888.46406 0.898415 2.027395 0.955190 0.827918 -0.050871 0.556194 0.051112
1403715888.46906 0.898432 2.027357 0.955165 0.827921 -0.050866 0.556189 0.051116
1403715888.47406 0.898447 2.027321 0.955142 0.827924 -0.050863 0.556185 0.051117
1403715888.47906 0.898464 2.027290 0.955113 0.827928 -0.050856 0.556180 0.051117
1403715888.48406 0.898479 2.027255 0.955092 0.827938 -0.050852 0.556166 0.051116
