# timestamp(s) tx ty tz qx qy qz qw
1413393213.48076 -1.076119 0.492468 1.329941 -0.005788 -0.795108 0.008771 0.606377
1413393213.48576 -1.076284 0.492465 1.329916 -0.005815 -0.795099 0.008761 0.606388
1413393213.49076 -1.076447 0.492456 1.329895 -0.005822 -0.795091 0.008762 0.606399
1413393213.49576 -1.076607 0.492443 1.329872 -0.005812 -0.795100 0.008779 0.606387
1413393213.50076 -1.076763 0.492428 1.329848 -0.005790 -0.795113 0.008800 0.606369
1413393213.50576 -1.076914 0.492415 1.329825 -0.005771 -0.795122 0.008806 0.606358
1413393213.51076 -1.077059 0.492407 1.329805 -0.005758 -0.795112 0.008793 0.606371
1413393213.51576 -1.077200 0.492405 1.329786 -0.005760 -0.795102 0.008774 0.606385
1413393213.52076 -1.077337 0.492406 1.329765 -0.005784 -0.795107 0.008759 0.606378
1413393213.52576 -1.077469 0.492407 1.329745 -0.005820 -0.795111 0.008753 0.606372
1413393213.53076 -1.077599 0.492398 1.329729 -0.005842 -0.795100 0.008752 0.606388
1413393213.53576 -1.077726 0.492384 1.329709 -0.005849 -0.795108 0.008777 0.606376
1413393213.54076 -1.077850 0.492367 1.329686 -0.005841 -0.795127 0.008823 0.606351
1413393213.54576 -1.077970 0.492352 1.329662 -0.005826 -0.795133 0.008846 0.606343
1413393213.55076 -1.078085 0.492341 1.329641 -0.005817 -0.795135 0.008835 0.606341
1413393213.55576 -1.078194 0.492336 1.329624 -0.005817 -0.795126 0.008810 0.606353
1413393213.56076 -1.078299 0.492334 1.329608 -0.005839 -0.795120 0.008793 0.606361
1413393213.56576 -1.078399 0.492333 1.329592 -0.005868 -0.795116 0.008779 0.606366
1413393213.57076 -1.078497 0.492329 1.329578 -0.005885 -0.795108 0.008767 0.606376
1413393213.57576 -1.078591 0.492318 1.329564 -0.005886 -0.795102 0.008781 0.606383
1413393213.58076 -1.078704 0.492311 1.329543 -0.005867 -0.795116 0.008834 0.606365
1413393213.58576 -1.078797 0.492297 1.329524 -0.005848 -0.795125 0.008873 0.606353
1413393213.59076 -1.078885 0.492287 1.329509 -0.005836 -0.795127 0.008879 0.606350
1413393213.59576 -1.078966 0.492283 1.329497 -0.005839 -0.795129 0.008872 0.606347
1413393213.60076 -1.079041 0.492284 1.329487 -0.005865 -0.795133 0.008858 0.606342
1413393213.60576 -1.079110 0.492287 1.329480 -0.005902 -0.795131 0.008839 0.606344
1413393213.61076 -1.079175 0.492288 1.329475 -0.005934 -0.795120 0.008830 0.606359
1413393213.61576 -1.079237 0.492285 1.329469 -0.005948 -0.795114 0.008838 0.606366
1413393213.62076 -1.079296 0.492277 1.329459 -0.005939 -0.795126 0.008863 0.606350
1413393213.62576 -1.079353 0.492266 1.329449 -0.005915 -0.795140 0.008891 0.606332
