# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1562772804.15132 0.002431 -0.006662 -0.001000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772804.55917 0.004004 -0.011843 0.002000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772804.57468 0.007006 -0.017579 0.004000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772804.86624 0.009437 -0.022206 0.010000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772804.96119 0.013726 -0.027572 0.017000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772805.16149 0.016014 -0.031273 0.013000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772805.58321 0.018731 -0.035899 0.017000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772805.58726 0.021304 -0.039415 0.021000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772805.78768 0.024879 -0.046077 0.031000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772806.09648 0.028454 -0.047187 0.034000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772806.15310 0.030312 -0.054404 0.045000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772806.38193 0.036318 -0.055699 0.042000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772806.56310 0.040035 -0.061621 0.056000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772806.76189 0.040178 -0.065322 0.060000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
1562772807.01812 0.043038 -0.067357 0.064000 0 0 0 1 0 0 0 0 0 0 2.0135610000 0.0000000000 0.0000000000 4.1412250000 0.0000000000 18.6883290000
