# timestamp(s) tx ty tz qx qy qz qw
1662923769.54966 2.506980 -0.001826 1.112650 -0.543650 -0.512978 0.523946 0.408385
1662923769.55966 2.506970 -0.001821 1.112650 -0.543650 -0.512974 0.523954 0.408381
1662923769.56966 2.506970 -0.001816 1.112640 -0.543657 -0.512964 0.523956 0.408381
1662923769.57966 2.506970 -0.001812 1.112640 -0.543659 -0.512971 0.523955 0.408372
1662923769.58966 2.506960 -0.001807 1.112630 -0.543656 -0.512973 0.523962 0.408363
1662923769.59966 2.506960 -0.001803 1.112630 -0.543660 -0.512968 0.523961 0.408367
1662923769.60966 2.506950 -0.001798 1.112630 -0.543667 -0.512964 0.523961 0.408362
1662923769.61966 2.506950 -0.001794 1.112620 -0.543671 -0.512959 0.523955 0.408369
1662923769.62966 2.506950 -0.001790 1.112620 -0.543674 -0.512953 0.523956 0.408372
1662923769.63966 2.506950 -0.001787 1.112620 -0.543670 -0.512951 0.523952 0.408385
1662923769.64966 2.506950 -0.001785 1.112620 -0.543665 -0.512953 0.523956 0.408384
1662923769.65966 2.506950 -0.001782 1.112610 -0.543667 -0.512951 0.523953 0.408389
1662923769.66966 2.506950 -0.001778 1.112610 -0.543665 -0.512950 0.523955 0.408388
1662923769.67966 2.506950 -0.001774 1.112610 -0.543662 -0.512948 0.523962 0.408386
1662923769.68966 2.506950 -0.001770 1.112610 -0.543660 -0.512949 0.523959 0.408391
1662923769.69966 2.506950 -0.001766 1.112610 -0.543660 -0.512949 0.523956 0.408397
1662923769.70966 2.506950 -0.001760 1.112610 -0.543658 -0.512949 0.523955 0.408400
1662923769.71966 2.506950 -0.001756 1.112610 -0.543662 -0.512949 0.523945 0.408406
1662923769.72966 2.506940 -0.001753 1.112610 -0.543666 -0.512950 0.523947 0.408398
1662923769.73966 2.506940 -0.001749 1.112610 -0.543664 -0.512953 0.523946 0.408399
1662923769.74966 2.506940 -0.001746 1.112620 -0.543664 -0.512952 0.523942 0.408405
1662923769.75966 2.506930 -0.001744 1.112620 -0.543668 -0.512950 0.523943 0.408400
1662923769.76966 2.506930 -0.001742 1.112620 -0.543673 -0.512949 0.523939 0.408400
1662923769.77966 2.506930 -0.001740 1.112620 -0.543673 -0.512953 0.523937 0.408398
1662923769.78966 2.506930 -0.001740 1.112620 -0.543668 -0.512954 0.523941 0.408398
1662923769.79966 2.506930 -0.001740 1.112620 -0.543659 -0.512959 0.523950 0.408392
1662923769.80966 2.506940 -0.001739 1.112620 -0.543653 -0.512962 0.523957 0.408388
1662923769.81966 2.506940 -0.001738 1.112630 -0.543654 -0.512957 0.523960 0.408388
1662923769.82966 2.506940 -0.001737 1.112630 -0.543656 -0.512951 0.523966 0.408386
1662923769.83966 2.506940 -0.001736 1.112630 -0.543655 -0.512949 0.523963 0.408393
1662923769.84966 2.506940 -0.001735 1.112630 -0.543658 -0.512949 0.523960 0.408394
1662923769.85966 2.506940 -0.001732 1.112630 -0.543654 -0.512952 0.523963 0.408392
1662923769.86966 2.506930 -0.001729 1.112630 -0.543658 -0.512955 0.523964 0.408382
1662923769.87966 2.506930 -0.001725 1.112630 -0.543659 -0.512950 0.523966 0.408383
1662923769.88966 2.506930 -0.001719 1.112630 -0.543655 -0.512951 0.523970 0.408382
1662923769.89966 2.506930 -0.001716 1.112630 -0.543656 -0.512951 0.523974 0.408375
1662923769.90966 2.506930 -0.001711 1.112630 -0.543649 -0.512957 0.523978 0.408372
1662923769.91966 2.506920 -0.001705 1.112630 -0.543648 -0.512962 0.523980 0.408365
1662923769.92966 2.506920 -0.001700 1.112620 -0.543645 -0.512964 0.523983 0.408362
1662923769.93966 2.506920 -0.001696 1.112620 -0.543643 -0.512962 0.523986 0.408364
1662923769.94966 2.506920 -0.001690 1.112620 -0.543645 -0.512957 0.523989 0.408364
1662923769.95966 2.506920 -0.001684 1.112620 -0.543646 -0.512956 0.523994 0.408356
1662923769.96966 2.506910 -0.001678 1.112620 -0.543649 -0.512960 0.523990 0.408353
1662923769.97966 2.506910 -0.001675 1.112620 -0.543648 -0.512956 0.523992 0.408357
1662923769.98966 2.506910 -0.001673 1.112620 -0.543650 -0.512958 0.523989 0.408355
1662923769.99966 2.506910 -0.001670 1.112610 -0.543647 -0.512962 0.523996 0.408346
1662923770.00966 2.506900 -0.001667 1.112620 -0.543648 -0.512960 0.523996 0.408346
1662923770.01966 2.506900 -0.001664 1.112620 -0.543654 -0.512958 0.523993 0.408345
1662923770.02966 2.506900 -0.001661 1.112620 -0.543647 -0.512960 0.523995 0.408349
1662923770.03966 2.506900 -0.001659 1.112620 -0.543655 -0.512950 0.523993 0.408354
1662923770.04966 2.506900 -0.001658 1.112610 -0.543653 -0.512947 0.523991 0.408363
1662923770.05966 2.506890 -0.001657 1.112610 -0.543645 -0.512950 0.523990 0.408370
1662923770.06966 2.506890 -0.001657 1.112610 -0.543643 -0.512947 0.523995 0.408371
1662923770.07966 2.506900 -0.001658 1.112610 -0.543646 -0.512940 0.523993 0.408379
1662923770.08966 2.506900 -0.001658 1.112610 -0.543647 -0.512938 0.523996 0.408376
1662923770.09966 2.506900 -0.001658 1.112600 -0.543641 -0.512938 0.523995 0.408385
1662923770.10966 2.506900 -0.001658 1.112600 -0.543640 -0.512934 0.523998 0.408387
1662923770.11966 2.506900 -0.001656 1.112600 -0.543639 -0.512932 0.524002 0.408386
1662923770.12966 2.506900 -0.001656 1.112600 -0.543651 -0.512920 0.523993 0.408398
1662923770.13966 2.506900 -0.001656 1.112600 -0.543650 -0.512914 0.523996 0.408402
1662923770.14966 2.506900 -0.001655 1.112600 -0.543645 -0.512913 0.524000 0.408404
1662923770.15966 2.506890 -0.001656 1.112600 -0.543643 -0.512911 0.523998 0.408412
1662923770.16966 2.506890 -0.001658 1.112590 -0.543645 -0.512914 0.523994 0.408412
1662923770.17966 2.506890 -0.001657 1.112590 -0.543641 -0.512913 0.524000 0.408410
1662923770.18966 2.506890 -0.001659 1.112590 -0.543638 -0.512917 0.523999 0.408412
1662923770.19966 2.506890 -0.001661 1.112590 -0.543629 -0.512919 0.524003 0.408415
1662923770.20966 2.506890 -0.001662 1.112590 -0.543625 -0.512918 0.523998 0.408428
1662923770.21966 2.506890 -0.001662 1.112590 -0.543620 -0.512917 0.524009 0.408422
1662923770.22966 2.506880 -0.001663 1.112590 -0.543618 -0.512915 0.524017 0.408417
1662923770.23966 2.506880 -0.001665 1.112590 -0.543616 -0.512915 0.524019 0.408417
1662923770.24966 2.506880 -0.001665 1.112590 -0.543614 -0.512916 0.524016 0.408421
1662923770.25966 2.506880 -0.001666 1.112590 -0.543609 -0.512919 0.524016 0.408425
1662923770.26966 2.506880 -0.001668 1.112590 -0.543613 -0.512914 0.524017 0.408424
1662923770.27966 2.506880 -0.001669 1.112580 -0.543618 -0.512914 0.524011 0.408426
1662923770.28966 2.506880 -0.001670 1.112580 -0.543624 -0.512912 0.524008 0.408423
1662923770.29966 2.506890 -0.001670 1.112580 -0.543623 -0.512911 0.524002 0.408433
1662923770.30966 2.506890 -0.001671 1.112580 -0.543620 -0.512914 0.523998 0.408440
1662923770.31966 2.506890 -0.001671 1.112570 -0.543621 -0.512915 0.523992 0.408444
1662923770.32966 2.506890 -0.001670 1.112570 -0.543632 -0.512914 0.523988 0.408436
1662923770.33966 2.506890 -0.001669 1.112570 -0.543639 -0.512913 0.523989 0.408427
1662923770.34966 2.506890 -0.001670 1.112570 -0.543639 -0.512910 0.523987 0.408433
1662923770.35966 2.506880 -0.001670 1.112570 -0.543636 -0.512910 0.523988 0.408436
1662923770.36966 2.506880 -0.001670 1.112570 -0.543637 -0.512909 0.523994 0.408427
1662923770.37966 2.506880 -0.001671 1.112570 -0.543640 -0.512912 0.523988 0.408429
1662923770.38966 2.506880 -0.001672 1.112570 -0.543645 -0.512908 0.523980 0.408437
1662923770.39966 2.506880 -0.001674 1.112570 -0.543645 -0.512908 0.523980 0.408437
1662923770.40966 2.506880 -0.001677 1.112570 -0.543649 -0.512904 0.523979 0.408438
1662923770.41966 2.506880 -0.001680 1.112570 -0.543648 -0.512911 0.523973 0.408437
1662923770.42966 2.506880 -0.001683 1.112580 -0.543652 -0.512911 0.523973 0.408434
1662923770.43966 2.506870 -0.001685 1.112580 -0.543656 -0.512911 0.523975 0.408424
1662923770.44966 2.506870 -0.001690 1.112580 -0.543653 -0.512914 0.523974 0.408426
1662923770.45966 2.506870 -0.001694 1.112580 -0.543655 -0.512913 0.523974 0.408425
1662923770.46966 2.506870 -0.001697 1.112580 -0.543655 -0.512914 0.523973 0.408424
1662923770.47966 2.506870 -0.001698 1.112580 -0.543657 -0.512914 0.523974 0.408421
1662923770.48966 2.506870 -0.001699 1.112580 -0.543666 -0.512907 0.523971 0.408420
1662923770.49966 2.506860 -0.001700 1.112580 -0.543662 -0.512911 0.523970 0.408424
1662923770.50966 2.506870 -0.001700 1.112580 -0.543653 -0.512917 0.523972 0.408425
1662923770.51966 2.506870 -0.001700 1.112580 -0.543659 -0.512915 0.523967 0.408426
1662923770.52966 2.506870 -0.001701 1.112580 -0.543657 -0.512916 0.523970 0.408424
1662923770.53966 2.506870 -0.001702 1.112580 -0.543654 -0.512917 0.523972 0.408423
1662923770.54966 2.506870 -0.001705 1.112580 -0.543653 -0.512914 0.523977 0.408422
1662923770.55966 2.506880 -0.001711 1.112580 -0.543649 -0.512907 0.523987 0.408423
1662923770.56966 2.506880 -0.001717 1.112590 -0.543647 -0.512915 0.523980 0.408426
1662923770.57966 2.506880 -0.001721 1.112580 -0.543641 -0.512919 0.523979 0.408430
1662923770.58966 2.506890 -0.001724 1.112590 -0.543651 -0.512908 0.523975 0.408435
1662923770.59966 2.506890 -0.001727 1.112590 -0.543652 -0.512904 0.523977 0.408436
1662923770.60966 2.506890 -0.001730 1.112580 -0.543649 -0.512909 0.523975 0.408436
1662923770.61966 2.506890 -0.001732 1.112580 -0.543660 -0.512897 0.523968 0.408445
1662923770.62966 2.506890 -0.001734 1.112580 -0.543661 -0.512897 0.523966 0.408446
1662923770.63966 2.506900 -0.001737 1.112580 -0.543654 -0.512907 0.523972 0.408436
1662923770.64966 2.506900 -0.001739 1.112580 -0.543650 -0.512910 0.523977 0.408432
1662923770.65966 2.506900 -0.001742 1.112580 -0.543650 -0.512908 0.523981 0.408430
1662923770.66966 2.506900 -0.001745 1.112590 -0.543647 -0.512910 0.523976 0.408435
1662923770.67966 2.506900 -0.001746 1.112590 -0.543658 -0.512915 0.523967 0.408428
1662923770.68966 2.506900 -0.001746 1.112590 -0.543669 -0.512910 0.523956 0.408433
1662923770.69966 2.506900 -0.001745 1.112590 -0.543672 -0.512907 0.523952 0.408438
1662923770.70966 2.506900 -0.001745 1.112590 -0.543671 -0.512904 0.523959 0.408434
1662923770.71966 2.506900 -0.001745 1.112590 -0.543672 -0.512901 0.523963 0.408430
1662923770.72966 2.506900 -0.001743 1.112590 -0.543677 -0.512904 0.523959 0.408425
1662923770.73966 2.506900 -0.001742 1.112590 -0.543679 -0.512901 0.523962 0.408424
1662923770.74966 2.506900 -0.001742 1.112590 -0.543681 -0.512897 0.523961 0.408426
1662923770.75966 2.506900 -0.001742 1.112600 -0.543683 -0.512893 0.523963 0.408427
1662923770.76966 2.506900 -0.001743 1.112600 -0.543684 -0.512892 0.523966 0.408423
1662923770.77966 2.506900 -0.001743 1.112600 -0.543682 -0.512899 0.523962 0.408422
1662923770.78966 2.506900 -0.001743 1.112600 -0.543694 -0.512895 0.523954 0.408422
1662923770.79966 2.506900 -0.001743 1.112600 -0.543700 -0.512894 0.523948 0.408423
1662923770.80966 2.506900 -0.001743 1.112610 -0.543701 -0.512895 0.523949 0.408418
1662923770.81966 2.506900 -0.001743 1.112610 -0.543700 -0.512898 0.523952 0.408412
1662923770.82966 2.506900 -0.001742 1.112610 -0.543700 -0.512903 0.523949 0.408410
