#time(ns),px,py,pz,qw,qx,qy,qz,vx,vy,vz,bwx,bwy,bwz,bax,bay,baz
1662924156641964288,2.51639,-0.0539626,1.11004,0.388859,-0.521316,-0.532579,0.541643,0.00145519,-3.23615e-05,0.000182454,-0.000734543,0.00120774,-0.00199672,0.103233,0.0934867,-0.0674271
1662924156651964160,2.5164,-0.0539626,1.11004,0.388872,-0.521299,-0.532567,0.541663,0.00149475,5.34394e-05,-5.36637e-05,-0.000734543,0.00120774,-0.00199672,0.103233,0.0934867,-0.0674271
1662924156661964288,2.51642,-0.0539621,1.11004,0.38889,-0.521278,-0.532561,0.541676,0.0013829,3.07819e-05,0.000180599,-0.000734543,0.00120774,-0.00199672,0.103233,0.0934867,-0.0674272
1662924156671964160,2.51643,-0.0539617,1.11004,0.388906,-0.521262,-0.532554,0.541687,0.000996661,6.12792e-05,0.000397774,-0.000734544,0.00120774,-0.00199672,0.103232,0.0934867,-0.0674273
1662924156681964032,2.51644,-0.0539611,1.11004,0.388916,-0.521256,-0.532541,0.541697,0.000620425,6.07369e-05,-1.45289e-06,-0.000734544,0.00120774,-0.00199672,0.103232,0.0934868,-0.0674275
1662924156691964160,2.51644,-0.0539605,1.11004,0.38893,-0.521249,-0.532536,0.541699,0.000306848,3.45156e-05,0.00017023,-0.000734544,0.00120774,-0.00199672,0.103232,0.093487,-0.0674277
1662924156701964032,2.51644,-0.05396,1.11004,0.388937,-0.521254,-0.532529,0.541696,-0.000191955,9.6477e-05,-0.000258106,-0.000734545,0.00120774,-0.00199672,0.103231,0.0934872,-0.067428
1662924156711964160,2.51644,-0.0539585,1.11004,0.388933,-0.521256,-0.532527,0.5417,-0.000701879,0.000210426,-9.78671e-06,-0.000734546,0.00120774,-0.00199673,0.103231,0.0934876,-0.0674284
1662924156721964032,2.51643,-0.053955,1.11004,0.388923,-0.521267,-0.532529,0.541694,-0.00109999,0.00039445,-0.00014732,-0.000734547,0.00120774,-0.00199673,0.10323,0.0934881,-0.0674288
1662924156731964160,2.51642,-0.053952,1.11004,0.388915,-0.521279,-0.53253,0.541688,-0.00151717,0.000175848,-0.000440026,-0.000734548,0.00120774,-0.00199673,0.10323,0.0934887,-0.0674294
1662924156741964032,2.5164,-0.0539507,1.11004,0.388895,-0.521291,-0.532545,0.541676,-0.00182077,7.23649e-05,1.15291e-05,-0.000734549,0.00120775,-0.00199673,0.103229,0.0934893,-0.06743
1662924156751964160,2.51638,-0.0539506,1.11003,0.388871,-0.521308,-0.532559,0.541663,-0.00175002,-3.11857e-05,-0.000448593,-0.00073455,0.00120775,-0.00199673,0.103228,0.09349,-0.0674308
1662924156761964032,2.51636,-0.0539504,1.11003,0.388849,-0.521319,-0.532575,0.541653,-0.00153532,2.71444e-06,3.4663e-05,-0.000734552,0.00120775,-0.00199673,0.103226,0.0934906,-0.0674317
1662924156771964160,2.51635,-0.0539502,1.11003,0.388839,-0.521335,-0.532581,0.541637,-0.00109465,3.55425e-05,-0.000200005,-0.000734553,0.00120775,-0.00199674,0.103225,0.0934912,-0.0674328
1662924156781964032,2.51634,-0.05395,1.11003,0.388837,-0.521352,-0.532586,0.541619,-0.000709913,-2.1178e-05,-2.17732e-05,-0.000734555,0.00120775,-0.00199674,0.103222,0.0934915,-0.0674341
1662924156791964160,2.51634,-0.0539501,1.11003,0.388831,-0.521366,-0.532585,0.54161,-0.000166305,-5.12694e-05,0.000202322,-0.000734556,0.00120775,-0.00199674,0.103219,0.0934918,-0.0674356
1662924156801964032,2.51634,-0.0539509,1.11003,0.388823,-0.521361,-0.532592,0.541614,0.000491776,-0.000144466,-0.000131478,-0.000734558,0.00120775,-0.00199674,0.103216,0.0934918,-0.0674372
1662924156811964160,2.51635,-0.0539528,1.11003,0.388827,-0.521355,-0.53259,0.541619,0.000976554,-0.0002625,0.000423338,-0.000734558,0.00120775,-0.00199674,0.103212,0.0934917,-0.0674389
1662924156821964032,2.51636,-0.0539554,1.11003,0.388843,-0.521357,-0.532569,0.541625,0.00144568,-0.00029124,0.000135413,-0.000734559,0.00120775,-0.00199674,0.103207,0.0934914,-0.0674406
1662924156831963904,2.51638,-0.0539583,1.11004,0.388859,-0.521349,-0.532563,0.541628,0.00184409,-0.000299612,0.000294324,-0.000734559,0.00120775,-0.00199674,0.103202,0.0934909,-0.0674424
1662924156841964032,2.5164,-0.0539611,1.11004,0.388866,-0.521335,-0.532553,0.541646,0.00207656,-0.000282642,0.000226613,-0.000734559,0.00120775,-0.00199674,0.103196,0.0934904,-0.0674444
1662924156851963904,2.51642,-0.0539639,1.11004,0.388883,-0.521316,-0.532543,0.541662,0.00202219,-0.000294288,2.80952e-05,-0.000734557,0.00120775,-0.00199674,0.10319,0.0934898,-0.0674468
1662924156861964032,2.51643,-0.0539668,1.11004,0.388895,-0.521302,-0.532539,0.541671,0.00178219,-0.000298291,0.00045087,-0.000734555,0.00120775,-0.00199675,0.103183,0.0934891,-0.0674496
1662924156871963904,2.51645,-0.0539699,1.11004,0.388896,-0.521296,-0.53253,0.541685,0.00141398,-0.000327278,-4.24489e-05,-0.000734553,0.00120775,-0.00199675,0.103176,0.0934884,-0.0674528
1662924156881964032,2.51646,-0.0539734,1.11005,0.388904,-0.521286,-0.532528,0.541691,0.000907632,-0.000375605,0.00023844,-0.000734551,0.00120775,-0.00199675,0.103169,0.0934877,-0.0674567
1662924156891963904,2.51647,-0.0539769,1.11005,0.388918,-0.521287,-0.532521,0.541686,0.000493345,-0.000278519,0.000232649,-0.000734548,0.00120776,-0.00199675,0.103162,0.0934869,-0.0674611
1662924156901964032,2.51647,-0.0539799,1.11005,0.388918,-0.521283,-0.532524,0.541687,0.000135039,-0.000312742,4.97687e-05,-0.000734544,0.00120776,-0.00199676,0.103155,0.0934861,-0.067466
1662924156911963904,2.51647,-0.0539823,1.11005,0.388915,-0.521285,-0.532519,0.541692,-0.00034979,-0.000115724,0.000216569,-0.00073454,0.00120776,-0.00199676,0.103147,0.0934851,-0.0674713
1662924156921964032,2.51647,-0.053983,1.11005,0.388905,-0.521289,-0.532521,0.541693,-0.000713965,-4.78956e-05,-0.000116667,-0.000734536,0.00120776,-0.00199676,0.10314,0.093484,-0.0674769
1662924156931963904,2.51646,-0.0539838,1.11005,0.388897,-0.521293,-0.532527,0.541691,-0.00101387,-0.000109579,0.000320173,-0.000734532,0.00120776,-0.00199677,0.103133,0.0934828,-0.0674829
1662924156941964032,2.51645,-0.0539848,1.11005,0.388888,-0.521315,-0.532528,0.541674,-0.000965345,-9.9414e-05,-0.000217746,-0.000734529,0.00120776,-0.00199677,0.103126,0.0934814,-0.0674891
1662924156951963904,2.51644,-0.0539854,1.11005,0.388869,-0.521331,-0.532537,0.541664,-0.00110847,-3.92971e-05,-4.7139e-05,-0.000734525,0.00120777,-0.00199677,0.103119,0.0934799,-0.0674953
1662924156961963776,2.51643,-0.0539858,1.11005,0.38885,-0.521342,-0.532549,0.541655,-0.000942465,-3.90503e-05,0.000324615,-0.000734521,0.00120777,-0.00199678,0.103112,0.0934783,-0.0675015
1662924156971963904,2.51642,-0.0539863,1.11006,0.388834,-0.521358,-0.532557,0.541644,-0.000656767,-7.08438e-05,2.76578e-05,-0.000734517,0.00120777,-0.00199678,0.103105,0.0934765,-0.0675076
1662924156981963776,2.51641,-0.0539861,1.11006,0.388837,-0.521366,-0.532557,0.541633,-0.000405009,7.18725e-05,0.000342426,-0.000734512,0.00120777,-0.00199678,0.103098,0.0934746,-0.0675134
1662924156991963904,2.51641,-0.0539851,1.11006,0.388842,-0.521375,-0.532546,0.541632,6.72483e-05,8.8051e-05,-9.58784e-05,-0.000734508,0.00120778,-0.00199679,0.10309,0.0934725,-0.0675188
1662924157001963776,2.51641,-0.0539845,1.11006,0.388848,-0.521365,-0.532551,0.541631,0.000297873,3.47609e-05,0.000195948,-0.000734504,0.00120778,-0.00199679,0.103082,0.0934703,-0.0675236
1662924157011963904,2.51642,-0.0539838,1.11006,0.388849,-0.521359,-0.532552,0.541637,0.000623325,3.90109e-05,5.64116e-07,-0.000734499,0.00120778,-0.00199679,0.103074,0.0934681,-0.0675278
1662924157021963776,2.51643,-0.0539847,1.11006,0.388854,-0.521348,-0.532552,0.541643,0.000801492,-0.000218353,-0.000150773,-0.000734494,0.00120778,-0.0019968,0.103066,0.0934658,-0.067531
