# timestamp(s) tx ty tz qx qy qz qw
1520531829.24371 0.673220 -0.218953 1.267367 -0.004442 -0.010629 -0.026544 0.999581
1520531829.25204 0.673034 -0.218908 1.267783 -0.004413 -0.011906 -0.026934 0.999557
1520531829.26038 0.672827 -0.219013 1.268217 -0.005233 -0.013194 -0.027328 0.999526
1520531829.26871 0.672563 -0.219051 1.268613 -0.005119 -0.014455 -0.028010 0.999490
1520531829.27704 0.672283 -0.219116 1.269073 -0.005681 -0.015347 -0.028646 0.999456
1520531829.28538 0.671858 -0.219212 1.269476 -0.005369 -0.016169 -0.029944 0.999406
1520531829.29371 0.671573 -0.219398 1.269976 -0.005670 -0.017047 -0.031018 0.999357
1520531829.30204 0.671129 -0.219630 1.270450 -0.005902 -0.017816 -0.032489 0.999296
1520531829.31038 0.670620 -0.219926 1.270914 -0.006358 -0.018183 -0.033914 0.999239
1520531829.31871 0.670148 -0.220250 1.271349 -0.006704 -0.018940 -0.035405 0.999171
1520531829.32704 0.669748 -0.220553 1.271804 -0.007067 -0.019704 -0.036702 0.999107
1520531829.33538 0.669299 -0.220860 1.272192 -0.007376 -0.020220 -0.037973 0.999047
1520531829.34371 0.669043 -0.221199 1.272646 -0.007636 -0.020931 -0.039064 0.998988
1520531829.35204 0.668843 -0.221422 1.273060 -0.007850 -0.021753 -0.039719 0.998943
1520531829.36038 0.668603 -0.221640 1.273424 -0.007909 -0.022268 -0.040307 0.998908
1520531829.36871 0.668298 -0.221791 1.273660 -0.007549 -0.022971 -0.041234 0.998857
1520531829.37704 0.668231 -0.221904 1.274020 -0.007209 -0.023783 -0.041464 0.998831
1520531829.38538 0.668098 -0.222058 1.274336 -0.006855 -0.024241 -0.041537 0.998819
1520531829.39371 0.667977 -0.222202 1.274654 -0.006585 -0.024919 -0.041503 0.998806
1520531829.40204 0.667864 -0.222297 1.274918 -0.005985 -0.025640 -0.041477 0.998792
1520531829.41038 0.667714 -0.222414 1.275253 -0.005621 -0.026463 -0.041433 0.998775
1520531829.41871 0.667593 -0.222640 1.275717 -0.005805 -0.026921 -0.040910 0.998783
1520531829.42704 0.667464 -0.222633 1.276040 -0.004790 -0.027753 -0.040732 0.998773
1520531829.43538 0.667297 -0.222759 1.276380 -0.003714 -0.028253 -0.040623 0.998768
