# t x y z qx qy qz qw
1520531829.301144123 0.672259436 -0.218501133 1.276759521 -0.019439771 -0.003600099 -0.031547971 0.999307083
1520531829.351145983 0.671614892 -0.218967680 1.277626703 -0.019631784 -0.008996702 -0.039290350 0.998994637
1520531829.401154995 0.671787664 -0.218905990 1.280051949 -0.018344784 -0.013736629 -0.041560100 0.998873045
1520531829.451156855 0.672631357 -0.218859889 1.281237122 -0.014714785 -0.017050501 -0.040123465 0.998940934
1520531829.501157999 0.670199707 -0.219996591 1.286088750 0.009430958 -0.025829537 -0.038857746 0.998866669
1520531829.551159859 0.671233736 -0.220987251 1.285562136 0.013800165 -0.027267242 -0.036135861 0.998879638
1520531829.601161003 0.671845898 -0.222589331 1.282423997 0.012011424 -0.028056976 -0.033102203 0.998985866
1520531829.651162863 0.670624352 -0.222988900 1.282664527 0.003395084 -0.029126185 -0.032870938 0.999028867
1520531829.701164007 0.672198547 -0.225149116 1.285186845 -0.002168398 -0.029423378 -0.034038113 0.998984843
1520531829.751165867 0.674688109 -0.226228306 1.288347880 -0.003944883 -0.030440199 -0.035286443 0.998905824
1520531829.801168919 0.676653852 -0.226956921 1.286911179 -0.000763918 -0.030884895 -0.034269039 0.998934839
1520531829.851172209 0.678984788 -0.226769187 1.286253191 0.004768680 -0.030130672 -0.032760341 0.998997758
1520531829.901174307 0.679858097 -0.227217278 1.287581198 0.008029112 -0.030764911 -0.030280700 0.999035950
1520531829.951176167 0.682256576 -0.228175058 1.288627543 0.006646717 -0.030461045 -0.030909068 0.999035466
1520531830.001177311 0.683474259 -0.228835416 1.290516546 0.003368562 -0.029011399 -0.031291438 0.999083731
1520531830.051179171 0.686765866 -0.229673575 1.291717600 -0.001254755 -0.027200233 -0.027556565 0.999249361
1520531830.101180315 0.689993727 -0.229930557 1.295050233 -0.004561623 -0.024823110 -0.027379614 0.999306546
1520531830.151182175 0.691906808 -0.227255887 1.293168672 -0.009153245 -0.022469579 -0.022791399 0.999445303
1520531830.201183319 0.691457893 -0.228034601 1.290606601 -0.013664687 -0.019334057 -0.021899915 0.999479737
1520531830.251183510 0.695338520 -0.228835650 1.291663099 -0.014647883 -0.015617536 -0.023587321 0.999492477
1520531830.301190376 0.696158330 -0.227081451 1.291602073 -0.011816099 -0.013658549 -0.023450330 0.999562082
1520531830.351186275 0.699174502 -0.227045095 1.290282216 -0.007734615 -0.011950819 -0.022526247 0.999645034
1520531830.401187420 0.700461745 -0.226512736 1.291765299 -0.004035047 -0.011708272 -0.020428101 0.999715052
1520531830.451189280 0.700628593 -0.223491347 1.291134145 -0.006431440 -0.011007236 -0.017049552 0.999773855
1520531830.501190424 0.703124769 -0.224200102 1.290178600 -0.012521137 -0.008089142 -0.015723025 0.999764913
1520531830.551192284 0.705120833 -0.223770632 1.289359648 -0.018592151 -0.005195073 -0.013450344 0.999722820
1520531830.601194382 0.705781563 -0.224240128 1.290953639 -0.019089047 -0.003364803 -0.012598822 0.999732660
1520531830.651174784 0.704940768 -0.224488402 1.290360388 -0.015483970 -0.002477110 -0.012471714 0.999799584
1520531830.701176643 0.705434325 -0.223645396 1.288859306 -0.010795425 -0.004898128 -0.011092971 0.999868287
1520531830.751177788 0.707529379 -0.220181378 1.286396463 -0.008140220 -0.007514026 -0.007847110 0.999908232
1520531830.801179647 0.709809353 -0.222117837 1.285229502 -0.005926632 -0.010462050 -0.005115059 0.999914277
1520531830.851180792 0.710681873 -0.221702791 1.281560488 -0.007105380 -0.011835300 -0.002803935 0.999901235
1520531830.901182652 0.710631997 -0.220001331 1.282078808 -0.010495594 -0.011142698 -0.002733906 0.999879347
1520531830.951184750 0.711361016 -0.222818445 1.282708845 -0.014820498 -0.007378452 -0.005296046 0.999849231
1520531831.001185656 0.713474301 -0.221939303 1.282801381 -0.018469149 -0.003279028 -0.008206548 0.999790081
1520531831.051188707 0.714476974 -0.220517098 1.283366884 -0.020033624 -0.001180906 -0.009026726 0.999757888
1520531831.101189613 0.713947720 -0.218765635 1.283719428 -0.017518145 -0.000274055 -0.009244302 0.999803546
1520531831.151191711 0.713911442 -0.220582675 1.284411410 -0.011361389 -0.000768104 -0.009202936 0.999892568
1520531831.201192617 0.714657159 -0.221600214 1.284131979 -0.006078387 -0.000978285 -0.009430548 0.999937062
1520531831.251195669 0.713877363 -0.222079011 1.285145240 -0.004866664 -0.001278047 -0.009354646 0.999943904
1520531831.301196575 0.715425416 -0.221653428 1.284019598 -0.009044573 -0.002579170 -0.009131716 0.999914178
1520531831.351198673 0.717916710 -0.222551354 1.282712765 -0.016450759 -0.002612403 -0.008794044 0.999822350
1520531831.401199579 0.714625953 -0.221632044 1.285130426 -0.022579886 -0.002676149 -0.007286941 0.999715024
1520531831.451199532 0.714203887 -0.221119267 1.284811516 -0.026273133 -0.002486590 -0.005505133 0.999636563
1520531831.501201391 0.715006984 -0.219841149 1.286857169 -0.025221144 -0.002043499 -0.004073531 0.999671232
1520531831.551202536 0.713898668 -0.219957750 1.286933028 -0.020085724 -0.002333700 -0.003662074 0.999788712
1520531831.601203442 0.714371410 -0.221851420 1.286080155 -0.013794290 -0.004637510 -0.004279703 0.999884522
1520531831.651204348 0.714980781 -0.221665155 1.286065309 -0.009001043 -0.005867640 -0.004456768 0.999932654
1520531831.701206446 0.713926884 -0.222723872 1.287053139 -0.008021983 -0.005320425 -0.005239077 0.999940402
1520531831.751212358 0.713003884 -0.226381120 1.291267300 -0.010368553 -0.004537229 -0.005439444 0.999921343
1520531831.801209450 0.713116927 -0.228260891 1.297135706 -0.015016941 -0.003039641 -0.005865828 0.999865440
1520531831.851205587 0.711726023 -0.234653043 1.298761202 -0.019774666 -0.000715660 -0.006833555 0.999780576
1520531831.901207685 0.712636718 -0.239339520 1.305342270 -0.021623778 0.001182134 -0.007386323 0.999738386
1520531831.951208591 0.710209022 -0.244002651 1.310318345 -0.021267099 0.002223542 -0.006652811 0.999749331
1520531832.001209736 0.708063605 -0.248353611 1.311866670 -0.018576759 0.002785004 -0.005913669 0.999806287
