# t x y z qx qy qz qw
1520500645.63961 0.142899742 0.052388094 1.187304958 0.015830772 -0.028678098 -0.01627294 0.999334163
1520500645.73742 0.030910574 0.063042828 1.184037067 0.020455424 -0.015804853 -0.024062302 0.999380546
1520500645.81517 -0.062613544 0.058794551 1.184688236 0.024577968 -0.026778099 -0.044338438 0.998361678
1520500645.91298 -0.181630649 0.033447855 1.177148732 0.015851521 -0.021306169 -0.077314472 0.996660868
1520500646.00577 -0.310212701 -0.005067278 1.163499877 0.015159339 -0.019303663 -0.087258541 0.995883612
1520500646.12114 -0.485075732 -0.051018713 1.172176495 0.019501607 0.000142988 -0.090427353 0.995715381
1520500646.34686 -0.792262302 -0.080843245 1.176312418 -0.012418434 -0.00778326 -0.096433111 0.995240686
1520500646.46473 -0.972406683 -0.071377835 1.157941094 -0.007893117 -0.008771761 -0.061037627 0.998080995
1520500646.52241 -1.057318378 -0.063530842 1.163686462 0.009164713 -0.003911398 -0.050587427 0.998679859
1520500646.60769 -1.161637868 -0.057043295 1.176204446 0.013499221 -0.007023707 -0.048078316 0.998729103
1520500646.7055 -1.237195005 -0.057054113 1.18446581 -0.0032968 0.003200695 -0.062838149 0.998015098
1520500646.8008 -1.248171509 -0.050419032 1.188675306 -0.005120194 0.00057072 -0.075166436 0.997158455
1520500646.93623 -1.145999459 -0.031469661 1.186178998 -0.007825781 0.006262608 -0.053418544 0.998526101
1520500647.00896 -1.051685433 -0.017269181 1.175839326 0.003052189 -0.005316587 -0.047189765 0.998870435
1520500647.09925 -0.927604907 -0.00387004 1.157637238 0.009977952 -0.027192514 -0.072812794 0.99693224
1520500647.2096 -0.765712252 0.00989133 1.150441738 0.026325363 -0.041523494 -0.058193358 0.997099874
1520500647.33249 -0.593511992 -0.006784126 1.145501522 0.007595396 -0.011455738 -0.02752088 0.999552965
1520500647.39017 -0.50295724 -0.022350884 1.136086812 0.013948586 0.001220701 -0.009442788 0.999859209
1520500647.60836 -0.076103571 -0.056005878 1.156061885 0.025676379 -0.016468844 0.102017926 0.994389528
1520500647.65601 0.023306913 -0.05923215 1.161998519 0.00951912 -0.016437348 0.125821038 0.991913974
1520500647.7137 0.142912932 -0.059257261 1.160212313 -0.006576794 -0.019645544 0.131463473 0.991109857
1520500647.79395 0.296227212 -0.04468349 1.170618308 -0.010000377 -0.030342658 0.125154391 0.991623251
1520500647.90681 0.494827032 -0.028955976 1.196319698 -0.004671897 -0.038240733 0.107108132 0.993502732
1520500647.9996 0.64321129 -0.043437672 1.195456592 -0.016659438 -0.046085804 0.096789721 0.994101371
1520500648.10745 0.817599763 -0.086411853 1.160181303 -0.00921155 -0.033712443 0.091149633 0.995227113
1520500648.2203 1.01099958 -0.111001534 1.154243676 0.00766855 -0.033624019 0.12120465 0.992034534
1520500648.31561 1.162083181 -0.121795953 1.154494974 0.005371818 -0.036715461 0.137738203 0.989776409
1520500648.40088 1.293068339 -0.123071077 1.144617195 0.015294699 -0.046039973 0.123350807 0.991181161
1520500648.49869 1.438720488 -0.108730906 1.151845251 0.007451035 -0.053258503 0.114441323 0.99197396
1520500648.599 1.566595127 -0.087979653 1.166840818 0.007198287 -0.037506591 0.14800634 0.988263528
1520500648.8498 1.545027043 -0.035996306 1.161657818 0.015097993 -0.035572777 0.164866025 0.98557733
1520500648.95764 1.401115961 -0.015228536 1.160900044 0.027170755 -0.021598735 0.131299971 0.990757131
1520500649.00028 1.333389048 -0.002662677 1.160721015 0.027618095 -0.00905751 0.120828074 0.992255248
1520500649.09307 1.175341924 0.025174691 1.155643002 0.031626498 -0.015062098 0.076881333 0.996438312
1520500649.22349 0.960855596 0.046991361 1.162259732 0.035448022 -0.025369047 0.001390112 0.999074531
1520500649.30374 0.840868309 0.050939566 1.162451781 0.025160532 -0.027433688 -0.036663708 0.998649696
1520500649.4166 0.662997698 0.061646649 1.153412665 0.025910834 0.009228537 -0.097817962 0.994860641
1520500649.50689 0.532676693 0.095111299 1.161146087 0.031606488 0.006500856 -0.121666549 0.992051686
1520500649.62225 0.388871034 0.185820589 1.169540818 0.001344784 0.004815366 -0.137093778 0.990550029
1520500649.70251 0.300767552 0.279179892 1.15981022 -0.005706042 0.002469537 -0.122799752 0.99241341
1520500649.80032 0.213789671 0.408879552 1.145357829 0.042871163 0.010612052 -0.121728072 0.991596371
1520500649.8906 0.176426212 0.519168941 1.13902475 0.048683208 -0.000153988 -0.145466847 0.988167387
1520500650.14391 0.18819597 0.768909254 1.143058989 0.058315526 -0.001330398 -0.143040769 0.988012121
1520500650.19657 0.177969444 0.797316399 1.148852055 0.047610018 -0.003515427 -0.13495894 0.989714176
1520500650.27934 0.13060225 0.826316756 1.150547939 0.049563352 -0.002398694 -0.123313637 0.991128327
1520500650.36962 0.037270833 0.84051755 1.153173335 0.025666402 0.012326346 -0.116859247 0.99274898
1520500650.47245 -0.079427397 0.833664058 1.155690684 0.013552374 0.005902817 -0.117547948 0.992959524
1520500650.57026 -0.182990939 0.793201512 1.137393093 0.028469128 -0.009383086 -0.13686689 0.990140192
1520500650.6781 -0.312052167 0.690328087 1.123575235 0.018649902 -0.00645226 -0.152907034 0.988052843
1520500650.76086 -0.425273461 0.596878039 1.158596909 0.004772175 0.025428063 -0.174888717 0.984257825
1520500650.85366 -0.54810116 0.498145574 1.196158049 -0.026393502 0.04022227 -0.205494089 0.977487729
1520500650.95899 -0.667778192 0.370425441 1.176014107 -0.025805241 0.01830289 -0.199130213 0.979470769
1520500651.05429 -0.756628597 0.228163039 1.160983687 -0.035864784 0.015549255 -0.141619093 0.989172016
1520500651.13956 -0.814542725 0.102713457 1.182793577 -0.027757458 0.009260777 -0.079444247 0.996422285
1520500651.37531 -0.903483502 -0.287533814 1.183582484 -0.04727353 0.020315426 -0.023414148 0.998419468
1520500651.45306 -0.92535112 -0.404046665 1.212767878 -0.064171245 0.013859088 -0.032340118 0.997332977
1520500651.5283 -0.934519313 -0.502422114 1.217422412 -0.067763886 0.004251165 -0.015698836 0.997575945
1520500651.61357 -0.927772043 -0.621793373 1.19639271 -0.063979817 -0.000910163 -0.003091178 0.997948104
1520500651.72392 -0.898173283 -0.768873522 1.186757315 -0.054834547 -0.01483301 0.035262793 0.997779243
1520500651.80417 -0.859286963 -0.837882668 1.197125464 -0.04815289 -0.016688878 0.064390457 0.996628078
1520500651.91201 -0.786776908 -0.886277634 1.188574239 -0.054734684 -0.026703998 0.054211375 0.996676407
1520500652.02989 -0.692369409 -0.876647128 1.174406535 -0.031728025 -0.018163764 -0.011824704 0.999297183
1520500652.10011 -0.654004267 -0.847298948 1.171927731 -0.013676453 -0.030742114 -0.037002526 0.998755112
1520500652.21046 -0.59306967 -0.754256794 1.174698985 -0.036914821 -0.004029864 -0.031752726 0.998814539
1520500652.32332 -0.526760332 -0.603905757 1.169817576 -0.045442195 0.001644401 -0.004735868 0.998960652
1520500652.39103 -0.482574132 -0.503934101 1.166573496 -0.01899897 -0.005175827 0.008952381 0.999774405
1520500652.60922 -0.34908935 -0.199395231 1.167724693 -0.045042032 -0.01147839 -0.001729141 0.99892351
1520500652.65938 -0.323470417 -0.129003882 1.166777527 -0.049739178 -0.021042608 -0.013659396 0.998453639
