# timestamp(s) tx ty tz qx qy qz qw
1550864017.67095 -5.697160 0.818541 1.013920 -0.708047 -0.037029 -0.704376 0.033938
1550864017.72091 -5.697070 0.818426 1.013950 -0.708236 -0.037202 -0.704173 0.034032
1550864017.77339 -5.697010 0.818402 1.013990 -0.708253 -0.036983 -0.704170 0.033972
1550864017.82078 -5.697010 0.818385 1.014030 -0.708084 -0.036909 -0.704341 0.034041
1550864017.87619 -5.697070 0.818495 1.014020 -0.707958 -0.036672 -0.704485 0.033944
1550864017.92098 -5.697140 0.818595 1.013930 -0.707960 -0.036977 -0.704466 0.033958
1550864017.97136 -5.697190 0.818715 1.013960 -0.707586 -0.037079 -0.704830 0.034083
1550864018.02098 -5.697480 0.818892 1.013850 -0.707645 -0.038213 -0.704692 0.034477
1550864018.07118 -5.697730 0.819185 1.013620 -0.707699 -0.039296 -0.704561 0.034820
1550864018.12114 -5.698250 0.819396 1.013530 -0.707695 -0.040810 -0.704421 0.035966
1550864018.17137 -5.698300 0.819671 1.013350 -0.708232 -0.042098 -0.703782 0.036412
1550864018.22149 -5.698160 0.819848 1.013330 -0.708344 -0.042015 -0.703683 0.036238
1550864018.27155 -5.697930 0.819955 1.013440 -0.708285 -0.041586 -0.703776 0.036089
1550864018.32197 -5.697470 0.820051 1.013680 -0.708187 -0.040668 -0.703936 0.035919
1550864018.37155 -5.697250 0.820125 1.014060 -0.707641 -0.040243 -0.704489 0.036341
1550864018.42166 -5.697000 0.820268 1.014190 -0.707579 -0.039815 -0.704577 0.036303
1550864018.47172 -5.696790 0.820489 1.013990 -0.707691 -0.039295 -0.704526 0.035687
1550864018.52176 -5.696870 0.820633 1.013870 -0.707950 -0.038914 -0.704305 0.035310
1550864018.57159 -5.696990 0.820659 1.013910 -0.707851 -0.039048 -0.704386 0.035541
1550864018.62171 -5.696950 0.820785 1.013900 -0.707950 -0.039837 -0.704216 0.036043
1550864018.67198 -5.696850 0.820959 1.013770 -0.708312 -0.040180 -0.703839 0.035928
1550864018.72186 -5.696710 0.821079 1.013690 -0.708491 -0.040219 -0.703664 0.035785
1550864018.77203 -5.696630 0.821106 1.013720 -0.708634 -0.040188 -0.703517 0.035866
1550864018.82196 -5.696640 0.821156 1.013670 -0.708653 -0.040159 -0.703507 0.035728
1550864018.87220 -5.696420 0.821261 1.013580 -0.708952 -0.040064 -0.703225 0.035456
1550864018.92209 -5.696280 0.821362 1.013500 -0.708815 -0.039765 -0.703405 0.034954
1550864018.97223 -5.696510 0.821536 1.013330 -0.708534 -0.040136 -0.703675 0.034794
1550864019.02210 -5.696660 0.821712 1.013220 -0.708328 -0.040598 -0.703844 0.035036
1550864019.07227 -5.697010 0.821866 1.013140 -0.707987 -0.041059 -0.704144 0.035338
1550864019.12238 -5.697100 0.822054 1.013020 -0.707869 -0.041040 -0.704271 0.035199
1550864019.17231 -5.696800 0.822302 1.012840 -0.708016 -0.040556 -0.704202 0.034164
1550864019.22241 -5.696600 0.822497 1.012760 -0.707859 -0.040060 -0.704415 0.033617
1550864019.27248 -5.696300 0.822646 1.012720 -0.707945 -0.040060 -0.704336 0.033477
1550864019.32302 -5.696270 0.822836 1.012660 -0.707720 -0.040265 -0.704554 0.033392
1550864019.37264 -5.696480 0.822966 1.012620 -0.707362 -0.040870 -0.704860 0.033781
1550864019.42464 -5.696420 0.823099 1.012590 -0.706840 -0.040709 -0.705407 0.033490
1550864019.47261 -5.696440 0.823126 1.012560 -0.707061 -0.040396 -0.705210 0.033339
1550864019.52764 -5.696330 0.823152 1.012550 -0.707323 -0.040636 -0.704928 0.033462
1550864019.57285 -5.696480 0.823247 1.012560 -0.707058 -0.040842 -0.705176 0.033594
1550864019.62290 -5.696630 0.823423 1.012480 -0.707022 -0.042073 -0.705105 0.034285
1550864019.67276 -5.696760 0.823569 1.012420 -0.706911 -0.042792 -0.705159 0.034588
1550864019.72308 -5.696950 0.823724 1.012350 -0.706888 -0.043351 -0.705128 0.034976
1550864019.77300 -5.697070 0.823864 1.012270 -0.706876 -0.043983 -0.705087 0.035255
1550864019.82309 -5.697030 0.824007 1.012180 -0.707211 -0.044269 -0.704740 0.035132
1550864019.87314 -5.696860 0.824084 1.012180 -0.707315 -0.044750 -0.704597 0.035290
1550864019.92327 -5.696790 0.824139 1.012300 -0.707198 -0.044460 -0.704725 0.035445
1550864019.97304 -5.696620 0.824165 1.012500 -0.706826 -0.043609 -0.705158 0.035334
1550864020.02341 -5.696430 0.824210 1.012610 -0.706593 -0.043445 -0.705400 0.035351
1550864020.07343 -5.696280 0.824346 1.012590 -0.706849 -0.043300 -0.705161 0.035191
1550864020.12362 -5.696410 0.824425 1.012570 -0.706515 -0.044176 -0.705429 0.035433
1550864020.17364 -5.696470 0.824557 1.012580 -0.706630 -0.044434 -0.705287 0.035630
1550864020.22383 -5.696560 0.824851 1.012420 -0.706670 -0.045112 -0.705198 0.035748
1550864020.27372 -5.696730 0.825255 1.012120 -0.706709 -0.045789 -0.705122 0.035627
1550864020.32404 -5.697050 0.825684 1.011870 -0.706500 -0.046792 -0.705262 0.035686
1550864020.37374 -5.697300 0.826073 1.011680 -0.706797 -0.047307 -0.704925 0.035803
1550864020.42390 -5.697400 0.826433 1.011470 -0.706907 -0.047005 -0.704850 0.035499
1550864020.47376 -5.697520 0.826627 1.011490 -0.707029 -0.047000 -0.704711 0.035826
1550864020.52372 -5.697680 0.826644 1.011720 -0.706707 -0.046858 -0.705008 0.036512
1550864020.57396 -5.697620 0.826692 1.011860 -0.707027 -0.046894 -0.704666 0.036874
1550864020.62376 -5.697650 0.826668 1.012050 -0.706383 -0.047027 -0.705283 0.037255
1550864020.67388 -5.697700 0.826716 1.012110 -0.706254 -0.046503 -0.705450 0.037192
