# timestamp(s) tx ty tz qx qy qz qw
1562777435.417 -83.597658 15.250365 4.386243 0.615631 -0.730597 -0.215656 0.20179 
1562777435.516 -83.498504 15.142537 4.395487 0.611541 -0.733372 -0.217428 0.202258 
1562777435.616 -83.402123 15.042613 4.439808 0.596692 -0.744856 -0.221429 0.200293 
1562777435.716 -83.301468 14.938098 4.466083 0.591354 -0.748448 -0.224244 0.199601 
1562777435.816 -83.19438 14.826438 4.481597 0.591403 -0.747702 -0.226704 0.199473 
1562777435.916 -83.079397 14.70846 4.499039 0.592066 -0.746437 -0.229144 0.199453 
1562777436.016 -82.958525 14.584988 4.515451 0.592837 -0.745078 -0.231726 0.199265 
1562777436.116 -82.831603 14.455743 4.53414 0.593787 -0.743468 -0.234671 0.199004 
1562777436.215 -82.699842 14.321836 4.554398 0.594761 -0.741739 -0.23702 0.199761 
1562777436.315 -82.558168 14.181987 4.574548 0.59536 -0.740349 -0.237773 0.202224 
1562777436.415 -82.409295 14.037239 4.59508 0.595829 -0.739009 -0.238226 0.205189 
1562777436.515 -82.253444 13.887309 4.615284 0.595635 -0.738111 -0.238249 0.208922 
1562777436.615 -82.090039 13.733074 4.634544 0.595586 -0.737145 -0.238582 0.212067 
1562777436.714 -81.919549 13.575467 4.651005 0.595418 -0.736376 -0.238783 0.214968 
1562777436.814 -81.741298 13.408846 4.663222 0.595412 -0.73541 -0.240418 0.216465 
1562777436.914 -81.552503 13.234785 4.676781 0.5955 -0.734421 -0.24214 0.217656 
1562777437.014 -81.346632 13.055879 4.694248 0.595282 -0.733931 -0.241818 0.220247 
1562777437.114 -81.129911 12.866282 4.713039 0.595038 -0.733354 -0.242488 0.222085 
1562777437.214 -80.90256 12.664042 4.730861 0.594801 -0.732748 -0.243455 0.223657 
1562777437.313 -80.66204 12.452677 4.751096 0.595922 -0.731409 -0.244749 0.223643 
1562777437.413 -80.407666 12.228031 4.76612 0.596546 -0.730507 -0.246259 0.223268 
1562777437.513 -80.139456 11.994988 4.781493 0.596681 -0.729904 -0.247766 0.223214 
1562777437.613 -79.856281 11.754578 4.798877 0.596911 -0.729343 -0.24806 0.224104 
1562777437.713 -79.558858 11.505091 4.82134 0.597328 -0.728761 -0.247734 0.225243 
1562777437.812 -79.252447 11.247059 4.843769 0.597531 -0.728294 -0.246939 0.227083 
1562777437.912 -78.932637 10.978765 4.870829 0.598807 -0.726938 -0.246692 0.228329 
1562777438.012 -78.602352 10.700736 4.892407 0.599062 -0.726391 -0.246515 0.229589 
1562777438.112 -78.267014 10.418629 4.909241 0.5991 -0.72604 -0.247518 0.229521 
1562777438.212 -77.921947 10.132679 4.926653 0.598644 -0.726164 -0.24815 0.229638 
1562777438.312 -77.568135 9.838547 4.944488 0.598649 -0.725883 -0.248915 0.229683 
1562777438.411 -77.205126 9.537927 4.960406 0.598476 -0.725724 -0.248429 0.23116 
1562777438.511 -76.824087 9.223682 4.973256 0.597699 -0.726015 -0.247496 0.233245 
1562777438.611 -76.435022 8.905432 4.984546 0.59614 -0.727019 -0.246726 0.234917 
1562777438.711 -76.031069 8.577818 5.0019 0.594333 -0.728256 -0.24495 0.237508 
1562777438.811 -75.621209 8.244879 5.027221 0.593946 -0.728383 -0.244151 0.238909 
1562777438.911 -75.203247 7.903718 5.04569 0.593449 -0.728586 -0.243476 0.24021 
1562777439.01 -74.78039 7.559442 5.058174 0.592771 -0.72899 -0.243525 0.240608 
1562777439.11 -74.340364 7.200219 5.073508 0.591867 -0.729532 -0.243386 0.241328 
1562777439.21 -73.891059 6.833823 5.096832 0.591665 -0.729553 -0.243098 0.242049 
1562777439.31 -73.431711 6.463531 5.124682 0.592333 -0.728848 -0.242163 0.243472 
1562777439.41 -72.962691 6.087296 5.150137 0.592796 -0.728337 -0.241416 0.244617 
1562777439.509 -72.491275 5.706442 5.174179 0.593611 -0.727585 -0.241427 0.244865 
1562777439.609 -72.010338 5.314973 5.201699 0.594847 -0.726444 -0.242191 0.244497 
1562777439.709 -71.521535 4.918656 5.22499 0.595299 -0.725952 -0.242963 0.244094 
1562777439.809 -71.021064 4.516932 5.242111 0.594708 -0.726433 -0.243443 0.243626 
1562777439.909 -70.510363 4.105136 5.259864 0.5943 -0.726527 -0.243682 0.244101 
1562777440.009 -69.994171 3.688769 5.272184 0.592636 -0.727599 -0.24449 0.244144 
1562777440.108 -69.475977 3.272447 5.282749 0.589923 -0.729699 -0.245835 0.243094 
1562777440.208 -68.943581 2.847695 5.304497 0.587699 -0.73139 -0.247163 0.24205 
1562777440.308 -68.401928 2.409728 5.319983 0.585534 -0.732863 -0.247983 0.242005 
1562777440.408 -67.853186 1.974154 5.348225 0.584278 -0.733714 -0.247872 0.242575 
1562777440.508 -67.302943 1.536916 5.391548 0.5849 -0.73295 -0.247605 0.243657 
1562777440.608 -66.756292 1.098148 5.436009 0.586032 -0.731546 -0.248481 0.244261 
1562777440.707 -66.212799 0.665949 5.479055 0.586128 -0.730961 -0.248776 0.245481 
1562777440.807 -65.662114 0.230418 5.521817 0.587184 -0.729593 -0.248719 0.247077 
1562777440.907 -65.10994 -0.201714 5.563133 0.587956 -0.728336 -0.248773 0.248891 
1562777441.007 -64.559804 -0.633202 5.597345 0.587579 -0.727938 -0.248801 0.250909 
1562777441.107 -64.007584 -1.061379 5.639597 0.58826 -0.726752 -0.249468 0.252086 
1562777441.206 -63.463478 -1.485148 5.66888 0.587926 -0.72632 -0.25 0.25358 
1562777441.306 -62.910609 -1.910045 5.696995 0.587631 -0.725977 -0.250796 0.254456 
1562777441.406 -62.354707 -2.332437 5.731232 0.587675 -0.72533 -0.250296 0.256682 
1562777441.506 -61.802284 -2.751999 5.760325 0.58734 -0.724998 -0.251122 0.25758 
1562777441.606 -61.248654 -3.167762 5.78837 0.585698 -0.725697 -0.252108 0.258384 
1562777441.706 -60.69576 -3.583161 5.814797 0.584423 -0.726231 -0.253802 0.258116 
1562777441.805 -60.146338 -3.991588 5.840441 0.58249 -0.727185 -0.254338 0.259266 
1562777441.905 -59.591098 -4.398909 5.870946 0.58129 -0.727605 -0.254639 0.260486 
1562777442.005 -59.0386 -4.802705 5.908204 0.58107 -0.72728 -0.254669 0.261847 
1562777442.105 -58.49916 -5.201639 5.951587 0.582746 -0.725397 -0.255841 0.262208 
1562777442.205 -57.962619 -5.596629 5.993847 0.584521 -0.723379 -0.255794 0.263871 
1562777442.305 -57.432188 -5.983598 6.031978 0.586484 -0.721314 -0.255711 0.265245 
1562777442.404 -56.913439 -6.359967 6.065899 0.587466 -0.719986 -0.255584 0.266798 
1562777442.504 -56.399081 -6.733671 6.095688 0.588018 -0.719018 -0.256407 0.2674 
1562777442.604 -55.89136 -7.103867 6.117955 0.588069 -0.718482 -0.257594 0.267589 
1562777442.704 -55.389003 -7.469961 6.136047 0.588557 -0.717721 -0.259126 0.267077 
1562777442.804 -54.889101 -7.829332 6.153211 0.588594 -0.71745 -0.259241 0.267615 
1562777442.903 -54.397216 -8.178424 6.177046 0.589937 -0.71647 -0.258164 0.268322 
1562777443.003 -53.907072 -8.522717 6.203033 0.591294 -0.715838 -0.256364 0.268747 
1562777443.103 -53.427987 -8.86237 6.224543 0.591976 -0.716134 -0.254816 0.267928 
1562777443.203 -52.962381 -9.194061 6.243202 0.592603 -0.716871 -0.253375 0.265932 
1562777443.303 -52.50588 -9.520057 6.261415 0.594084 -0.717385 -0.250515 0.263941 
1562777443.403 -52.059883 -9.838943 6.27257 0.59506 -0.718773 -0.247493 0.260799 
1562777443.502 -51.630055 -10.150598 6.280291 0.595334 -0.72113 -0.244142 0.256796 
1562777443.602 -51.205026 -10.459906 6.296499 0.596456 -0.72335 -0.239407 0.252369 
1562777443.702 -50.792226 -10.764825 6.318975 0.598778 -0.725104 -0.233468 0.247349 
1562777443.802 -50.393781 -11.06982 6.334976 0.60097 -0.727388 -0.226938 0.241332 
1562777443.902 -50.006692 -11.376348 6.344811 0.602741 -0.730474 -0.219754 0.234134 
1562777444.002 -49.631112 -11.686057 6.35725 0.605022 -0.733581 -0.211364 0.226125 
1562777444.101 -49.267866 -11.997001 6.373335 0.607789 -0.736589 -0.202032 0.217284 
1562777444.201 -48.910473 -12.316701 6.389651 0.610587 -0.739685 -0.191536 0.208239 
1562777444.301 -48.560447 -12.645257 6.408393 0.61371 -0.742516 -0.180891 0.198265 
1562777444.401 -48.229883 -12.982749 6.423736 0.616815 -0.745328 -0.169928 0.187483 
1562777444.501 -47.911971 -13.32555 6.440305 0.619286 -0.748661 -0.158809 0.175416 
1562777444.6 -47.606731 -13.670733 6.455506 0.62086 -0.752636 -0.146772 0.162879 
1562777444.7 -47.310259 -14.02598 6.473711 0.622514 -0.756481 -0.13327 0.149839 
1562777444.8 -47.023631 -14.387875 6.490941 0.624049 -0.760277 -0.117608 0.136782 
1562777444.9 -46.759519 -14.754594 6.507651 0.625624 -0.763765 -0.10184 0.122012 
1562777445 -46.520908 -15.125722 6.525772 0.627113 -0.766885 -0.085823 0.106073 
1562777445.1 -46.308478 -15.500184 6.548638 0.628907 -0.769271 -0.06996 0.088336 
1562777445.199 -46.11394 -15.879026 6.575959 0.631237 -0.770538 -0.053702 0.070194 
1562777445.299 -45.944299 -16.258838 6.609036 0.633491 -0.771118 -0.036164 0.052511 
1562777445.399 -45.794068 -16.639422 6.638126 0.634942 -0.771532 -0.018037 0.035535 
1562777445.499 -45.666543 -17.019588 6.663666 0.635681 -0.77173 -0.000245 0.018499 
1562777445.599 -45.558394 -17.39712 6.687692 0.636288 -0.771236 0.018126 0.001936 
1562777445.699 -45.465768 -17.775359 6.710874 0.637029 -0.769848 0.03613 -0.014955 
1562777445.798 -45.396866 -18.146908 6.731889 0.637558 -0.767919 0.052526 -0.032569 
1562777445.898 -45.351698 -18.51365 6.751211 0.637463 -0.765761 0.068576 -0.050482 
1562777445.998 -45.328875 -18.868255 6.770521 0.636673 -0.763415 0.085446 -0.067408 
1562777446.098 -45.318736 -19.216708 6.787746 0.635988 -0.760344 0.102048 -0.083553 
1562777446.198 -45.3226 -19.560427 6.800071 0.635386 -0.756675 0.118206 -0.098761 
1562777446.297 -45.33315 -19.901155 6.802488 0.634371 -0.752679 0.135153 -0.113051 
1562777446.397 -45.36099 -20.239257 6.805759 0.633035 -0.748219 0.151982 -0.127812 
1562777446.497 -45.418335 -20.57415 6.814132 0.631593 -0.743417 0.16827 -0.141796 
1562777446.597 -45.487087 -20.908274 6.82043 0.630303 -0.737875 0.184442 -0.155691 
1562777446.697 -45.56204 -21.236542 6.815675 0.627126 -0.73327 0.203182 -0.16657 
1562777446.797 -45.661039 -21.546259 6.806707 0.620395 -0.731393 0.219473 -0.178903 
1562777446.896 -45.776767 -21.842564 6.800221 0.613264 -0.729533 0.234226 -0.191906 
1562777446.996 -45.910683 -22.135933 6.804529 0.607469 -0.726027 0.245625 -0.208649 
1562777447.096 -46.059148 -22.429551 6.810831 0.604347 -0.719922 0.256717 -0.224885 
1562777447.196 -46.220818 -22.725703 6.817166 0.603438 -0.711671 0.26931 -0.238451 
1562777447.296 -46.386705 -23.02837 6.812295 0.603316 -0.702547 0.283806 -0.248778 
1562777447.396 -46.562373 -23.331463 6.807088 0.603178 -0.692888 0.29953 -0.257613 
1562777447.495 -46.746733 -23.624278 6.800964 -0.601123 0.684166 -0.314884 0.267237 
1562777447.595 -46.945142 -23.899058 6.814254 -0.597125 0.676673 -0.32806 0.279162 
1562777447.695 -47.162927 -24.15379 6.856867 -0.593347 0.668793 -0.337703 0.2943 
1562777447.795 -47.386544 -24.398035 6.903135 -0.590136 0.659602 -0.347635 0.30954 
1562777447.895 -47.603217 -24.644369 6.921402 0.585975 -0.650258 0.361058 -0.321613 
1562777447.995 -47.820667 -24.887423 6.900247 0.579158 -0.643108 0.376631 -0.330358 
1562777448.094 -48.045584 -25.127522 6.851225 0.569972 -0.638265 0.391783 -0.338018 
1562777448.194 -48.292874 -25.360074 6.802399 0.559214 -0.633717 0.406397 -0.347167 
1562777448.294 -48.563165 -25.587136 6.767531 0.548278 -0.628031 0.420525 -0.357949 
1562777448.394 -48.855121 -25.816864 6.760589 0.539568 -0.620234 0.432154 -0.370701 
1562777448.494 -49.169193 -26.036042 6.774015 0.532577 -0.610201 0.443592 -0.383722 
1562777448.593 -49.498096 -26.254832 6.789444 0.525554 -0.598786 0.456256 -0.396331 
1562777448.693 -49.85516 -26.464029 6.797617 0.51761 -0.586957 0.470197 -0.408014 
1562777448.793 -50.22103 -26.651705 6.79984 0.508487 -0.574916 0.484673 -0.419529 
1562777448.893 -50.602245 -26.82276 6.805274 0.498656 -0.561592 0.499368 -0.431957 
1562777448.993 -51.013385 -26.98597 6.809843 0.487679 -0.547695 0.513671 -0.445356 
1562777449.093 -51.461993 -27.135132 6.81279 0.475675 -0.533416 0.52769 -0.459069 
1562777449.192 -51.9341 -27.282615 6.808769 0.464111 -0.51762 0.542963 -0.471022 
1562777449.292 -52.438297 -27.41476 6.801624 0.452137 -0.50077 0.559328 -0.481615 
1562777449.392 -52.967403 -27.523633 6.795345 0.440379 -0.483297 0.575112 -0.491667 
1562777449.492 -53.511845 -27.59378 6.792374 0.426161 -0.467469 0.588751 -0.503221 
1562777449.592 -54.071235 -27.631627 6.787962 0.410616 -0.452168 0.601641 -0.51475 
1562777449.692 -54.632343 -27.633679 6.78083 0.394635 -0.437192 0.613891 -0.525608 
1562777449.791 -55.198546 -27.610112 6.774612 0.380982 -0.421158 0.626127 -0.534269 
1562777449.891 -55.785897 -27.55986 6.770947 0.368082 -0.405521 0.637196 -0.542263 
1562777449.991 -56.369428 -27.468589 6.780219 0.356169 -0.391196 0.645781 -0.550523 
1562777450.091 -56.944157 -27.337048 6.794161 0.344352 -0.379247 0.652042 -0.558958 
1562777450.191 -57.520113 -27.177047 6.80407 0.334593 -0.368673 0.657767 -0.565217 
1562777450.29 -58.102574 -26.998388 6.810884 0.326759 -0.359299 0.662735 -0.570013 
1562777450.39 -58.691931 -26.796577 6.817278 0.319387 -0.351266 0.667227 -0.573945 
1562777450.49 -59.2867 -26.574248 6.825716 0.313122 -0.34439 0.67076 -0.577435 
1562777450.59 -59.879802 -26.331301 6.832179 0.30777 -0.339101 0.673491 -0.580257 
1562777450.69 -60.472601 -26.076234 6.83751 0.304149 -0.333209 0.67682 -0.581704 
1562777450.79 -61.069661 -25.808832 6.847277 0.299825 -0.327873 0.679529 -0.583819 
1562777450.889 -61.667761 -25.526571 6.860465 0.296158 -0.323066 0.681151 -0.586475 
1562777450.989 -62.274847 -25.226502 6.875919 0.292401 -0.318829 0.681695 -0.590035 
1562777451.089 -62.885816 -24.916353 6.888988 0.289181 -0.314045 0.682346 -0.593426 
1562777451.189 -63.502513 -24.597857 6.90255 0.286817 -0.308375 0.683264 -0.596482 
1562777451.289 -64.1151 -24.269249 6.913606 0.28445 -0.302796 0.684646 -0.598884 
1562777451.389 -64.725975 -23.929543 6.919769 0.280654 -0.29843 0.686249 -0.601028 
1562777451.488 -65.334235 -23.583726 6.918768 0.27699 -0.293934 0.688425 -0.602454 
1562777451.588 -65.951458 -23.217119 6.922113 0.273029 -0.289533 0.688346 -0.60647 
1562777451.688 -66.578346 -22.838105 6.932584 0.271695 -0.282685 0.686257 -0.612635 
1562777451.788 -67.212174 -22.445701 6.948684 0.271461 -0.274599 0.682924 -0.620096 
1562777451.888 -67.848547 -22.042706 6.962431 0.271687 -0.266364 0.680011 -0.626755 
1562777451.987 -68.473575 -21.632681 6.956294 0.269288 -0.260342 0.679326 -0.631048 
1562777452.087 -69.098396 -21.209769 6.91743 0.264743 -0.25613 0.681794 -0.632033 
1562777452.187 -69.718109 -20.778416 6.862091 0.258997 -0.252721 0.685144 -0.632163 
1562777452.287 -70.336847 -20.338586 6.808729 0.25405 -0.24855 0.688452 -0.632231 
1562777452.387 -70.956033 -19.883731 6.765167 0.249751 -0.244271 0.691278 -0.632528 
1562777452.487 -71.578567 -19.412577 6.731175 0.246033 -0.239861 0.693008 -0.633778 
1562777452.586 -72.194006 -18.931369 6.6969 0.241978 -0.235849 0.69458 -0.635123 
1562777452.686 -72.821052 -18.428719 6.661251 0.237555 -0.232578 0.696173 -0.636254 
1562777452.786 -73.450454 -17.912007 6.628401 0.234087 -0.229878 0.697029 -0.637582 
1562777452.886 -74.077068 -17.382389 6.590311 0.230506 -0.228112 0.6983 -0.638129 
1562777452.986 -74.708606 -16.841081 6.555214 0.227694 -0.226035 0.699461 -0.638607 
1562777453.086 -75.359302 -16.277964 6.520164 0.226127 -0.223721 0.700246 -0.639117 
1562777453.185 -75.991692 -15.717158 6.489125 0.224592 -0.221916 0.700232 -0.640303 
1562777453.285 -76.647412 -15.128679 6.461152 0.223381 -0.220005 0.699253 -0.642452 
1562777453.385 -77.310903 -14.524283 6.427675 0.222068 -0.218193 0.698741 -0.644079 
1562777453.485 -77.982203 -13.910622 6.389427 0.220931 -0.216603 0.698934 -0.644798 
1562777453.585 -78.658957 -13.282199 6.34472 0.220194 -0.215241 0.69909 -0.645336 
1562777453.684 -79.334887 -12.649914 6.297286 0.219355 -0.214113 0.699361 -0.645704 
1562777453.784 -80.026402 -11.997454 6.251928 0.218805 -0.213079 0.699481 -0.646102 
1562777453.884 -80.726198 -11.335728 6.205433 0.218061 -0.212336 0.699331 -0.646761 
1562777453.984 -81.431024 -10.665894 6.157514 0.217521 -0.211515 0.699545 -0.64698 
1562777454.084 -82.140166 -9.987959 6.111872 0.217714 -0.210035 0.699349 -0.647609 
1562777454.184 -82.851958 -9.304488 6.062894 0.216538 -0.209783 0.699166 -0.648281 
1562777454.283 -83.557313 -8.624309 6.010947 0.215432 -0.209485 0.700431 -0.647381 
1562777454.383 -84.269316 -7.932218 5.954333 0.213514 -0.20969 0.702388 -0.645828 
1562777454.483 -84.983451 -7.23895 5.903103 0.211725 -0.209724 0.703857 -0.644805 
1562777454.583 -85.703107 -6.538524 5.864597 0.211627 -0.208135 0.703838 -0.645373 
1562777454.683 -86.427185 -5.8318 5.829549 0.211985 -0.205739 0.703599 -0.646284 
1562777454.783 -87.152766 -5.116429 5.794592 0.211617 -0.203361 0.703016 -0.647789 
1562777454.882 -87.869633 -4.401066 5.754249 0.210544 -0.201399 0.702677 -0.649118 
1562777454.982 -88.592055 -3.677246 5.710143 0.209032 -0.199612 0.702835 -0.649987 
1562777455.082 -89.310761 -2.94554 5.659501 0.206752 -0.1985 0.703538 -0.650297 
1562777455.182 -90.027723 -2.210904 5.607565 0.204896 -0.196689 0.704649 -0.650231 
1562777455.282 -90.746425 -1.464624 5.561199 0.203387 -0.194475 0.704235 -0.651818 
1562777455.381 -91.457048 -0.719164 5.519386 0.202026 -0.192196 0.703535 -0.65367 
1562777455.481 -92.172403 0.04133 5.475423 0.200588 -0.190078 0.702516 -0.655825 
1562777455.581 -92.883169 0.803311 5.420892 0.198794 -0.188331 0.702757 -0.656617 
