#timestamp tx ty tz qx qy qz qw
1521753105.031430 0.0000000 0.0000000 0.0000000 0.8068135 0.0049998 -0.0068286 0.5907456
1521753105.081430 0.0001929 0.0000856 -0.0000316 0.8066552 0.0043433 -0.0070490 0.5909643
1521753105.131430 0.0007681 0.0003796 0.0009705 0.8061321 0.0041045 -0.0080305 0.5916668
1521753105.181430 0.0017626 0.0034250 0.0042009 0.8023155 0.0027062 -0.0096830 0.5968156
1521753105.231430 0.0035814 0.0072322 0.0097223 0.7960440 -0.0005235 -0.0113163 0.6051327
1521753105.281430 0.0057797 0.0099734 0.0158259 0.7892687 -0.0073569 -0.0122372 0.6138819
1521753105.331430 0.0040771 0.0084224 0.0231356 0.7851365 -0.0200137 -0.0113127 0.6188958
1521753105.381430 0.0093708 0.0032679 0.0283149 0.7851034 -0.0287175 -0.0130229 0.6185616
1521753105.431430 0.0184446 -0.0058698 0.0330615 0.7885353 -0.0343613 -0.0146046 0.6138551
1521753105.481430 0.0322065 -0.0193519 0.0384001 0.7938464 -0.0371629 -0.0200513 0.6066505
1521753105.531430 0.0518020 -0.0345959 0.0444616 0.7968326 -0.0347532 -0.0292564 0.6024899
1521753105.581430 0.0753365 -0.0510537 0.0502366 0.7982037 -0.0309103 -0.0393218 0.6003076
1521753105.631430 0.1016246 -0.0717504 0.0553911 0.8002903 -0.0269630 -0.0481888 0.5970647
1521753105.681430 0.1281375 -0.0968141 0.0587157 0.8034444 -0.0256897 -0.0538826 0.5923797
1521753105.731430 0.1541883 -0.1283072 0.0607776 0.8098156 -0.0282673 -0.0566215 0.5832612
1521753105.781430 0.1803321 -0.1628000 0.0631365 0.8164593 -0.0336953 -0.0606939 0.5732146
1521753105.831430 0.2067493 -0.1965422 0.0665918 0.8206759 -0.0417787 -0.0632516 0.5663435
1521753105.881430 0.2313686 -0.2286769 0.0712845 0.8201963 -0.0507395 -0.0653792 0.5660646
1521753105.931430 0.2579237 -0.2605130 0.0796562 0.8187474 -0.0620886 -0.0695005 0.5665399
1521753105.981430 0.2803826 -0.2918086 0.0882620 0.8132936 -0.0743530 -0.0718029 0.5725989
1521753106.031430 0.3027616 -0.3214062 0.0979238 0.8052480 -0.0865595 -0.0736277 0.5819467
1521753106.081430 0.3209474 -0.3531477 0.1050993 0.7986123 -0.1006192 -0.0773979 0.5883058
1521753106.131430 0.3320175 -0.3867626 0.1075016 0.7962776 -0.1166011 -0.0822635 0.5878596
1521753106.181430 0.3423960 -0.4271749 0.1094419 0.7954513 -0.1306476 -0.0902489 0.5848449
1521753106.231430 0.3496294 -0.4662618 0.1107690 0.7949122 -0.1423674 -0.0995441 0.5813235
1521753106.281430 0.3559957 -0.5095277 0.1121740 0.7917193 -0.1506846 -0.1078110 0.5821094
1521753106.331430 0.3554158 -0.5514330 0.1057523 0.7862998 -0.1582482 -0.1135171 0.5863480
1521753106.381430 0.3524647 -0.5977670 0.1001415 0.7848680 -0.1669060 -0.1171971 0.5851406
1521753106.431430 0.3476949 -0.6484892 0.0985743 0.7793849 -0.1727817 -0.1206271 0.5900464
1521753106.481430 0.3395765 -0.7009733 0.0989295 0.7758621 -0.1803229 -0.1218463 0.5921783
1521753106.531430 0.3299906 -0.7562999 0.1036975 0.7701855 -0.1861661 -0.1244184 0.5972240
1521753106.581430 0.3177733 -0.8139428 0.1105931 0.7676248 -0.1908764 -0.1261717 0.5986644
1521753106.631430 0.3071130 -0.8727250 0.1217410 0.7643523 -0.1950712 -0.1330417 0.6000105
1521753106.681430 0.2965523 -0.9320064 0.1328815 0.7630013 -0.1985324 -0.1394221 0.5991456
1521753106.731430 0.2847866 -0.9907888 0.1450668 0.7597830 -0.2025018 -0.1472739 0.6000277
1521753106.781430 0.2737604 -1.0482774 0.1549120 0.7556696 -0.2079610 -0.1563382 0.6010608
1521753106.831430 0.2620268 -1.1057528 0.1604491 0.7492375 -0.2138978 -0.1668397 0.6041981
1521753106.881430 0.2488018 -1.1628018 0.1630963 0.7455061 -0.2209337 -0.1764824 0.6035420
1521753106.931430 0.2326281 -1.2222749 0.1641128 0.7436950 -0.2282638 -0.1842161 0.6007311
1521753106.981430 0.2148447 -1.2815721 0.1631932 0.7448733 -0.2372274 -0.1903817 0.5938365
1521753107.031430 0.1928329 -1.3463973 0.1661859 0.7445733 -0.2466445 -0.1996261 0.5873044
1521753107.081430 0.1681426 -1.4113579 0.1734837 0.7452325 -0.2565256 -0.2057240 0.5800868
1521753107.131430 0.1409753 -1.4740433 0.1840496 0.7433096 -0.2664094 -0.2105999 0.5763372
1521753107.181430 0.1108584 -1.5335884 0.1970447 0.7417407 -0.2764697 -0.2133912 0.5725814
