# timestamp(s) tx ty tz qx qy qz qw
1520530962.74481 1.222549 -0.359389 1.230928 -0.010867 -0.000948 0.000530 0.999940
1520530962.75314 1.222142 -0.358283 1.230070 -0.005742 0.001733 0.002300 0.999979
1520530962.76147 1.222497 -0.358133 1.229758 -0.006194 0.003134 0.003063 0.999971
1520530962.76981 1.222633 -0.358676 1.230219 -0.008662 0.001200 0.002602 0.999958
1520530962.77814 1.222797 -0.358745 1.230165 -0.009316 0.001661 0.003022 0.999951
1520530962.78647 1.223045 -0.358583 1.230130 -0.007522 0.001237 0.003467 0.999965
1520530962.79481 1.223260 -0.358877 1.230160 -0.010859 0.002071 0.004481 0.999929
1520530962.80314 1.223437 -0.358919 1.230156 -0.011452 0.002188 0.005087 0.999919
1520530962.81147 1.223748 -0.358837 1.230069 -0.011170 0.002770 0.004898 0.999922
1520530962.81981 1.223866 -0.358992 1.230049 -0.013214 0.003525 0.005952 0.999889
1520530962.82814 1.224140 -0.358860 1.230105 -0.011820 0.002821 0.006071 0.999908
1520530962.83647 1.224312 -0.359059 1.230110 -0.013824 0.003425 0.007315 0.999872
1520530962.84481 1.224623 -0.358960 1.230175 -0.012225 0.002489 0.007343 0.999895
1520530962.85314 1.224838 -0.358974 1.230262 -0.012408 0.002269 0.007778 0.999890
1520530962.86147 1.225053 -0.359044 1.230375 -0.012571 0.002072 0.008268 0.999885
1520530962.86981 1.225234 -0.359083 1.230481 -0.012698 0.001842 0.008697 0.999880
1520530962.87814 1.225423 -0.359151 1.230598 -0.012619 0.001567 0.009014 0.999879
1520530962.88647 1.225502 -0.358980 1.230835 -0.010640 0.000367 0.010229 0.999891
1520530962.89481 1.225758 -0.359074 1.230993 -0.010610 0.000013 0.010456 0.999889
1520530962.90314 1.226026 -0.359173 1.231176 -0.010766 -0.000406 0.010660 0.999885
1520530962.91147 1.226155 -0.359185 1.231244 -0.010088 -0.000629 0.010533 0.999893
1520530962.91981 1.226354 -0.359243 1.231331 -0.009586 -0.000821 0.010682 0.999897
1520530962.92814 1.226881 -0.359984 1.231973 -0.013247 -0.002154 0.010757 0.999852
1520530962.93647 1.226802 -0.359426 1.231664 -0.008516 -0.000928 0.011417 0.999898
1520530962.94481 1.227265 -0.360176 1.232319 -0.012240 -0.002690 0.011334 0.999857
