#timestamp [ns], p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
1520531124177875537,0.8082440113,-0.2339065203,1.2688503693,0.9999643205,0.0075138116,-0.0037085755,-0.0010709302
1520531124186208537,0.8083257397,-0.2339864865,1.2689324619,0.9999665615,0.0069242695,-0.0043468691,-0.0001872548
1520531124194541537,0.8084287929,-0.2341661515,1.2691159997,0.9999690765,0.0058193424,-0.0052792881,0.0003324301
1520531124202875537,0.8086843407,-0.2346692682,1.2696155422,0.9999754091,0.0032685561,-0.0058712908,0.0020064217
1520531124211208537,0.8086709933,-0.2343003670,1.2694502193,0.9999602518,0.0040138580,-0.0075453283,0.0025400189
1520531124219542537,0.8088719083,-0.2346681708,1.2699617921,0.9999585309,0.0025201915,-0.0080347520,0.0034681209
1520531124227875537,0.8089701107,-0.2348896736,1.2701692405,0.9999520000,0.0016483361,-0.0086741545,0.0042473129
1520531124236208537,0.8090689138,-0.2351219801,1.2702745249,0.9999489524,0.0017587867,-0.0090873876,0.0040519959
1520531124244542537,0.8092509315,-0.2353981244,1.2704858636,0.9999396079,0.0012888232,-0.0102121334,0.0038512068
1520531124252875537,0.8094224440,-0.2355764826,1.2706708335,0.9999308502,0.0012142881,-0.0109931497,0.0039963741
1520531124261208537,0.8096634462,-0.2356301151,1.2709397857,0.9999180218,0.0008861190,-0.0118512509,0.0047657521
1520531124269541537,0.8098847987,-0.2358590903,1.2709955780,0.9999176718,0.0013785989,-0.0119067744,0.0045801487
1520531124277875537,0.8099966876,-0.2360222754,1.2711059258,0.9999138478,0.0017560426,-0.0122252032,0.0044449746
1520531124286208537,0.8102158472,-0.2362626802,1.2712564824,0.9999041541,0.0030134019,-0.0130727910,0.0034211411
1520531124294541537,0.8103652287,-0.2363314881,1.2713347871,0.9999046978,0.0034129681,-0.0127313529,0.0041060413
1520531124302875537,0.8106318523,-0.2365121606,1.2716611964,0.9998955865,0.0034960399,-0.0134510550,0.0039576323
1520531124311208537,0.8107261442,-0.2368305218,1.2717534765,0.9998982834,0.0036294162,-0.0131234155,0.0042457229
1520531124319541537,0.8108123436,-0.2373268110,1.2721063850,0.9998962700,0.0030964357,-0.0135556450,0.0037557662
1520531124327875537,0.8107507449,-0.2376998604,1.2720534221,0.9999000665,0.0040303400,-0.0132624304,0.0027787083
1520531124336208537,0.8105235959,-0.2380263526,1.2722464893,0.9999043553,0.0044454843,-0.0130107926,0.0014957043
1520531124344542537,0.8104763642,-0.2384172695,1.2724560358,0.9999058414,0.0044170489,-0.0129530139,0.0010087336
1520531124352875537,0.8103277173,-0.2388070431,1.2727138176,0.9999027286,0.0043519243,-0.0132356100,0.0006424149
1520531124361208537,0.8100694772,-0.2393334210,1.2726609841,0.9998936001,0.0063688112,-0.0130453953,-0.0014298522
1520531124369542537,0.8098008501,-0.2398940944,1.2728213598,0.9998919910,0.0058892204,-0.0132201222,-0.0025596305
1520531124377875537,0.8094828990,-0.2405278764,1.2730421809,0.9998948368,0.0051894456,-0.0131296676,-0.0033161392
1520531124386208537,0.8092772408,-0.2413001929,1.2733688691,0.9998774943,0.0047895254,-0.0139360801,-0.0052765990
1520531124394541537,0.8091261613,-0.2420964043,1.2737883511,0.9998532951,0.0046124633,-0.0148925979,-0.0070939455
1520531124402875537,0.8088138870,-0.2427148539,1.2741156970,0.9998545093,0.0027846633,-0.0150295281,-0.0075709447
1520531124411208537,0.8085419184,-0.2435051690,1.2744378659,0.9998211642,0.0023931107,-0.0162573541,-0.0093600806
1520531124419541537,0.8085169350,-0.2441364057,1.2747187667,0.9997777062,0.0031650091,-0.0175177771,-0.0112981583
1520531124427875537,0.8080183995,-0.2451204930,1.2749299095,0.9997698199,0.0014503106,-0.0173994190,-0.0124685199
1520531124436208537,0.8077622844,-0.2458625941,1.2752201518,0.9997459013,0.0008416337,-0.0180757206,-0.0134422020
1520531124444541537,0.8075211578,-0.2466185721,1.2755321815,0.9997338908,0.0004910118,-0.0183699534,-0.0139445817
1520531124452875537,0.8073079396,-0.2472501868,1.2757329022,0.9997091372,0.0011116727,-0.0192624796,-0.0144693488
1520531124461208537,0.8071082132,-0.2480265196,1.2760342855,0.9996725513,0.0009434772,-0.0204187964,-0.0153939177
1520531124469542537,0.8068733264,-0.2486777515,1.2761043985,0.9996289518,0.0012311190,-0.0220661885,-0.0159225115
1520531124477875537,0.8067560803,-0.2491745388,1.2764550637,0.9995841077,0.0025385340,-0.0234872286,-0.0165383656
1520531124486208537,0.8065755821,-0.2497042324,1.2766753137,0.9995734209,0.0021695994,-0.0243134411,-0.0160351411
1520531124494542537,0.8066555863,-0.2500991358,1.2769517161,0.9995188076,0.0042900917,-0.0261041680,-0.0161963205
1520531124502875537,0.8063039474,-0.2502581438,1.2768009190,0.9995131661,0.0055697498,-0.0264598730,-0.0155654668
1520531124511208537,0.8065254615,-0.2508733711,1.2773158222,0.9994721089,0.0054807216,-0.0282127779,-0.0151494019
1520531124519541537,0.8065683733,-0.2512596917,1.2775222376,0.9994382993,0.0065350331,-0.0294249603,-0.0146475598
1520531124527875537,0.8066824539,-0.2515363582,1.2777506470,0.9993721787,0.0086096907,-0.0310303033,-0.0147730165
1520531124536208537,0.8065439210,-0.2516026342,1.2776576436,0.9993540399,0.0106327294,-0.0311244680,-0.0144815584
1520531124544541537,0.8065587804,-0.2517818808,1.2777021402,0.9993731120,0.0115582981,-0.0305880900,-0.0135704624
1520531124552875537,0.8067190822,-0.2519808697,1.2778863903,0.9993646858,0.0129263447,-0.0304906927,-0.0131701173
1520531124561208537,0.8068829039,-0.2520997363,1.2780083570,0.9993611978,0.0138537360,-0.0303738753,-0.0127553150
1520531124569541537,0.8072946542,-0.2524883516,1.2784524825,0.9993472284,0.0130430344,-0.0313494815,-0.0123371903
1520531124577875537,0.8074717476,-0.2525980116,1.2785684064,0.9993545051,0.0134839431,-0.0310969673,-0.0119052552
1520531124586208537,0.8076692011,-0.2526755751,1.2786634973,0.9993720914,0.0138771351,-0.0305772119,-0.0113084967
