# timestamp tx ty tz qx qy qz qw
1540821125.49987 7.4895608654 -0.0314783293 -0.924702131 -0.0002113773 0.0004118677 0.8958542568 -0.4443477649
1540821125.50187 7.4894875611 -0.0317962377 -0.9249089603 -0.0002247629 0.0004340104 0.895899109 -0.444257299
1540821125.50387 7.4894115322 -0.0321257 -0.9251233067 -0.0002386354 0.0004569585 0.8959455822 -0.4441635374
1540821125.50587 7.4893329781 -0.0324658255 -0.9253445909 -0.0002529573 0.0004806501 0.8959935501 -0.4440667327
1540821125.50788 7.4892518538 -0.0328167821 -0.9255729221 -0.0002677358 0.0005050968 0.8960430354 -0.4439668366
1540821125.50987 7.4891684661 -0.0331772159 -0.9258074196 -0.0002829138 0.0005302045 0.8960938462 -0.4438642334
1540821125.51187 7.4890824871 -0.0335485178 -0.9260489884 -0.00029855 0.0005560701 0.8961461777 -0.4437585264
1540821125.51387 7.4889941748 -0.0339295452 -0.9262968851 -0.0003145963 0.0005826141 0.896199868 -0.4436500402
1540821125.51587 7.4889035484 -0.0343201886 -0.9265510384 -0.0003310481 0.000609829 0.8962549007 -0.443538805
1540821125.51787 7.4888106348 -0.0347203039 -0.9268113549 -0.0003478995 0.0006377047 0.8963112545 -0.443424861
1540821125.51987 7.4887155508 -0.0351293614 -0.9270774898 -0.000365128 0.0006662044 0.8963688539 -0.4433083583
1540821125.52188 7.4886180792 -0.0355482672 -0.9273500328 -0.0003827721 0.0006953914 0.8964278256 -0.443189038
1540821125.52387 7.4885188424 -0.035974321 -0.9276272271 -0.0004007178 0.0007250775 0.8964877885 -0.4430676684
1540821125.52587 7.4884173621 -0.0364095502 -0.9279103918 -0.0004190508 0.0007554042 0.896549027 -0.4429436713
1540821125.52787 7.4883138142 -0.0368531728 -0.9281990181 -0.000437738 0.0007863169 0.8966114303 -0.4428172684
1540821125.52987 7.4882083218 -0.0373046347 -0.9284927458 -0.0004567563 0.0008177771 0.8966749194 -0.442688617
1540821125.53187 7.4881007424 -0.0377645192 -0.9287919544 -0.0004761301 0.0008498256 0.8967395754 -0.4425575499
1540821125.53387 7.487991446 -0.0382312189 -0.929095598 -0.0004957919 0.0008823504 0.8968051716 -0.4424245245
1540821125.53587 7.4878802502 -0.038705488 -0.9294041677 -0.0005157735 0.0009154042 0.896871813 -0.4422893251
1540821125.53787 7.4877673373 -0.0391865247 -0.9297171415 -0.000536041 0.000948931 0.8969393861 -0.4421521795
1540821125.5399 7.4876508865 -0.0396820482 -0.9300395423 -0.0005569199 0.0009834691 0.8970089741 -0.4420108857
1540821125.54187 7.4875359989 -0.0401703394 -0.9303572387 -0.0005774949 0.0010175046 0.8970775263 -0.4418716364
